disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Project area,col2_Project title,col3_Stage of project development,col4_Status of financing,col5_Identified financing model,"col6_Project description and URL link, if applicable","col7_Attach project proposal, if applicable",col8_Total cost of project (in currency specified in 1.2),"col9_Total investment cost needed, if relevant (in currency specified in 1.2)","col10_If this project is related to a previously reported adaptation or mitigation action, select the ID of the action"
2025 Disclosure Cycle,779465,CDP,930367,Municipio de Montecristi,City,Latin America,Ecuador,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,5,Row 5,Buildings,READECUACIÓN DE LA CASA DE LA MUJER EN LA PARROQUIA MONTECRISTI DEL CANTÓN MONTECRISTI.,Project feasibility,Project not funded and seeking full funding,Public finance- own budget|Public-private partnership|Public finance- national government|Loans from commercial banks|Grants|Bonds|Private investment|Loans from International Financial Institutions,"Las villas suecas es una casa de huéspedes ubicadas en Ecuador, cantón Montecristi, en la actualidad las instalaciones existentes no están siendo utilizadas, porque el proyecto no se encuentra en condiciones de ser habitado.El objetivo y propósito del proyecto plantea establecer en este sitio el patronato Municipal donde se brindan atenciones a la población de mujeres vulnerables, niñas y niños que de igual forma sufren algún tipo de maltrato o daños psicológicos.El terreno donde se encuentra implantado el proyecto presenta una forma irregular la cual posee una superficie total de 3.770,50 m2 aproximadamente, sin embargo, el área de intervención es de 1.850,23 m2.Está compuesto de planta subsuelo, planta baja y planta alta, mismas que presentan las siguientes condiciones:•Desgaste de pintura exterior e interior•Puerta principal con desgaste en acabado •Puertas interiores en mal estado (sin tapa marco, sin cerradura)•Ventanas de madera y vidrio desgastadas •Piezas sanitarias en mal estado •Muebles altos y bajos de cocina en mal estado •Canalón y bajante de aguas lluvias en mal estado ",,236783.0,236783.0,
2025 Disclosure Cycle,779465,CDP,930367,Municipio de Montecristi,City,Latin America,Ecuador,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,6,Row 6,Water management,"ESTUDIOS Y DISEÑOS DEFINITIVOS PARA LA CONSTRUCCION DEL COLECTOR PRINCIPAL Y DE LAS PLANTAS DE TRATAMIENTO PARA AGUAS RESIDUALES PARA LA PARROQUIA DE MONTECRISTI Y ANIBAL SAN ANDRES DEL CANTON MONTECRISTI, PROVINCIA DE MANABÍ",Project feasibility,Project not funded and seeking full funding,Public finance- national government|Public-private partnership|Loans from International Financial Institutions|Public finance- own budget|Bonds|Loans from commercial banks|Grants|Private investment,"La realización de los estudios definitivos para su posterior ejecución se encuentra determinada como un eje principal en el Plan de Desarrollo del Cantón. Con la ejecución y disponibilidad de estos estudios definitivos se podrá buscar el financiamiento para su ejecución, logrando alianzas estratégicas con instituciones públicas o privadas que financien la ejecución de estas obras.PROPÓSITO DEL PROYECTO: Contar con un documento técnico básico de ingeniería que permita la contratación y construcción de las obras, que incluya: planos, especificaciones técnicas, presupuestos de obras, memorias de cálculo, impacto ambiental, medidas de mitigación, análisis socio económico y documentos precontractuales para la alternativa seleccionada por la municipalidad.OBJETIVOS Objetivo General. Realizar los Diseños Definitivos de todos los elementos que componen el Colector Principal y de las Plantas de Tratamiento de Aguas Residuales para las parroquias Montecristi y Aníbal San Andrés Cantón Montecristi: Recolección, Bombeo, Impulsión, Sistema Eléctrico, Conducción y Tratamiento.Objetivo Específicos•Diagnóstico y evaluación del sistema existente.•Dimensionamiento del proyecto. (en función de la demanda presente y futura)•Valorización económica requerida para la implementación del proyecto•Estudios de impacto ambiental•Manual de operación y mantenimiento•Especificaciones generales y particulares del proyecto•Evaluación social y financiera del proyectoEl proyecto comprende dos áreas de influencia, la Directa y la Indirecta.Se entiende por área de influencia directa del proyecto al sitio geográfico determinado por las siguientes condiciones: •Zona involucrada en las actividades constructivas y operativas del proyecto.•Zona de implantación de estructuras de reservas y distribución. ",,3219987.0,3219987.0,
2025 Disclosure Cycle,779465,CDP,930367,Municipio de Montecristi,City,Latin America,Ecuador,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,7,Row 7,Water management,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,930413,Municipio de Santa Elena,City,Latin America,Ecuador,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,2,Row 2,Nature-Based Solutions,Gestión de sistemas lagunares y Planes de tratamiento ,Scoping,Project not funded and seeking full funding,No financing model identified,"Busca: Impulsar las acciones de coordinación estratégicas para el mejoramiento de la gestión ambiental y desarrollo sostenible/sustentable del cantón. Gestionar el tratamiento de aguas residuales, cumpliendo con las normas técnicas y parámetros establecidos en la normativa ambiental vigenteOptimizar los sistemas lagunas y PTARs para efectuar descargas dentro de los límites máximos permisibles que establece la legislación ambiental vigente. Para: Colonche; Manglaralto; y San José de Ancón. Beneficiarios: 90,900 habitantes. ",,300000.0,300000.0,
2025 Disclosure Cycle,779465,CDP,930413,Municipio de Santa Elena,City,Latin America,Ecuador,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,3,Row 3,Nature-Based Solutions,Ampliación de las capacidades de producción de plantas forestales y frutales de interés ambiental. ,Scoping,Project not funded and seeking partial funding,No financing model identified,"Se busca: Coordinar acciones para la mitigación del cambio climático en el cantón, basados en la prevención de desastres, recursos hídricos y biodiversidad. La construcción del vivero municipal servirá de apoyo a los planes de forestación, con la finalidad de cubrir las necesidades cantonales de plántulas de diversa índole., preferibles plantas nativas del cantón. Ampliar de las capacidades de producción de plantas forestales, medicinales y frutales de interés comunitario y ambiental, en apoyo del programa de forestación. Se beneficia a : 90,900 habitantes de Atahualpa; Chanduy; Colonche; Manglaralto; San José de Ancón; Simón Bolívar; y Santa Elena. Pag. 267 del PDyOT.",,100000.0,100000.0,
2025 Disclosure Cycle,779465,CDP,930413,Municipio de Santa Elena,City,Latin America,Ecuador,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,4,Row 4,Nature-Based Solutions,"Fortalecimiento de la gestión ambiental, preservación de la biodiversidad y reducción de la contaminación",Scoping,Project not funded and seeking full funding,No financing model identified," El proyecto busca, impulsar las acciones de coordinación estratégicas para el mejoramiento de la gestión ambiental y desarrollo sostenible/sustentable del cantón. En las comunidades de: Atahualpa; Chanduy; Colonche; Manglaralto; San José de Ancón; Simón Bolívar; y Santa Elena. Se beneficia a 80.000 hab.Las acciones del proyecto están encaminadas a fortalecer el conocimiento ambiental de la población a través de la capacitación en centros comunales y/o escolares. Promover acciones conjuntas en el territorio cantonal para la coordinación de políticas y estrategias comunitarias, de compromiso social y corresponsabilidad, que contribuyan a mejorar la gestión ambiental y el desarrollo sostenible/sustentable urbano y rural. La ficha está contenida en la pagina 259 del PDyOT.",,40000.0,40000.0,
2025 Disclosure Cycle,779465,CDP,930413,Municipio de Santa Elena,City,Latin America,Ecuador,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,5,Row 5,Nature-Based Solutions,Declaratoria de áreas protegidas de interés municipal,Scoping,Project not funded and seeking full funding,No financing model identified,"El proyecto busca:Coordinar acciones para la mitigación del cambio climático en el cantón, basados en la prevención de desastres, recursos hídricos y biodiversidad. Las áreas protegidas son la principal estrategia para la conservación de la biodiversidad. Otorgar áreas protegidas al cantón contribuye a conservar ecosistemas, especies, diversidad genética y también proporcionan múltiples servicios ambientales para las poblaciones rurales y urbanas. Declarar áreas protegidas de interés municipal de acuerdo con la legislación vigente Estudio para la identificación de áreas potenciales ser declaradas protegidas del interés municipal. 2: Delimitación de las áreas. 3: Declaratoria de las áreas. 4: Dotación del equipamiento necesario a las áreas. 5: Conservación de las áreas. 6: Protección de posibles daños y deterioro por habitantes cerca del sector. Al término del primer trimestre del 2022, al menos un área por parroquia ha sido beneficiada con la declaración de áreas protegidas. Comunidades beneficiadas: Atahualpa; Chanduy; Colonche; Manglaralto; San José de Ancón; Simón Bolívar; y Santa Elena. 80,000 habitantes Ficha en la pagina 263 del PDyOT.Pag 264 del DPy OT.",,40000.0,40000.0,
2025 Disclosure Cycle,779465,CDP,930413,Municipio de Santa Elena,City,Latin America,Ecuador,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,6,Row 6,Nature-Based Solutions,Índice verde urbano en el cantón Santa Elena. ,Scoping,Project not funded and seeking full funding,No financing model identified,"Se busca: Coordinar acciones para la mitigación del cambio climático en el cantón, basados en la prevención de desastres, recursos hídricos y biodiversidad. Fomentar la arborización como una acción para contribuir al aumento de la calidad de vida de los centros de todo el cantón Santa Elena que contribuya a la mitigación y adaptación al cambio climático. De acuerdo con la OMS se debe tener como meta 9,0 m2/habitante. Incrementar el índice verde urbano de los centros poblados del Cantón. 1: Identificación de áreas por intervenir en centros de mayor densidad poblacional. 2: Zonificación de áreas. 3: Diseño de las áreas a intervenir y selección de especies apropiadas según las características locales. 4: Clasificación y adquisición de especies de flora para la reforestación. 5: Mantenimiento. 6: Empoderamiento y cuidado social. Implementar acciones de mitigación del cambio climático, prevención y atención de desastres, recursos hídricos y biodiversidad orientados al bienestar humano a través de un desarrollo armonizado con el ambiente. Atahualpa; Chanduy; Colonche; Manglaralto; San José de Ancón; Simón Bolívar; y Santa Elena. 50,000 habitantes ",,2222.0,2222.0,
2025 Disclosure Cycle,779465,CDP,930413,Municipio de Santa Elena,City,Latin America,Ecuador,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,7,Row 7,Nature-Based Solutions,Manejo de Playa de Mar y Franja Adyacente ,Scoping,Project not funded and seeking full funding,No financing model identified,"Ordenar el territorio en playas y bahías, frenar el deterioro ambiental y fomentar el desarrollo económico sobre bases sustentables y sostenibles. Coordinar acciones para la mitigación del cambio climático en el cantón, basados en la prevención de desastres, recursos hídricos y biodiversidad. El proyecto busca una integración transversal y vertical entre el gobierno, la comunidad, la academia y los intereses sectoriales y públicos, en el ordenamiento espacial de la faja costera y la implementación de proyectos y actividades para el fortalecimiento de la gobernanza costera, el uso y aprovechamiento racional de los recursos costeros y el desarrollo sostenible. 1: Ordenamiento del territorio cantonal. 2: Promover la gobernabilidad y gobernanza. 3: Conservación de la base natural. 4: Fortalecimiento del sistema de planificación ambiental. 5: Promoción del desarrollo económico sostenible. 6: Fortalecimiento de la educación y participación ciudadana. 7: Generación del conocimiento especializado. Población beneficiada: Atahualpa; Chanduy; Colonche; Manglaralto; San José de Ancón; y Santa Elena. 90,900 habitantes. ",,100000.0,100000.0,
2025 Disclosure Cycle,779465,CDP,930413,Municipio de Santa Elena,City,Latin America,Ecuador,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,8,Row 8,Nature-Based Solutions,Manejo costero integrado. ,Scoping,Project not funded and seeking full funding,No financing model identified,"Coordinar acciones para la mitigación del cambio climático en el cantón, basados en la prevención de desastres, recursos hídricos y biodiversidad. El proyecto busca una integración transversal y vertical entre el gobierno, la comunidad, la academia y los intereses sectoriales y públicos, en el ordenamiento espacial de la faja costera y la implementación de proyectos y actividades para el fortalecimiento de la gobernanza costera, el uso y aprovechamiento racional de los recursos costeros y el desarrollo sostenible. Ordenar el territorio marino costero, frenar el deterioro ambiental en los sistemas costeros del Cantón y fomentar el desarrollo económico sobre bases sustentables y sostenibles. 1: Ordenamiento del territorio cantonal. 2: Promover la gobernabilidad y gobernanza. 3: Conservación de la base natural. 4: Fortalecimiento del sistema de planificación ambiental. 5: Promoción del desarrollo económico sostenible. Fortalecimiento de la educación y participación ciudadana. 7: Generación del conocimiento especializado. Implementar acciones de mitigación del cambio climático, prevención y atención de desastres, recursos hídricos y biodiversidad orientados al bienestar humano a través de un desarrollo armonizado con el ambiente. Atahualpa; Chanduy; Colonche; Manglaralto; San José de Ancón; y Santa Elena. 90,900 habitantes ",,50000.0,50000.0,
2025 Disclosure Cycle,779465,CDP,930502,San Francisco del Rincón,City,Latin America,Mexico,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Public and green spaces,Caracterización y diagnóstico para 53 espacios públicos y sus radios de influencia en cabecera municipal como parte del Sistema Integral Municipal de Infraestructura Verde.,Scoping,Project not funded and seeking full funding,Public finance- national government,"La población de San Francisco del Rincón no contará con estrategia de implementación de mejoras integrales a los espacios públicos existentes, por lo que seguirán sin cumplir con los puntos plasmados en la NOM 001 de SEDATU, quedando como residuos urbanos inconexos y sin utilidad.Estos mismos, carecerán de una conexión tanto física como medio ambiental, aislando la posibilidad de funcionar como un sistema orgánico sin implementación de la Infraestructura Verde.Al no contar con inventarios de arbolado, ni planes de manejo por cada espacio, se continuará con prácticas deficientes en el mantenimiento, recuperación, remoción y reforestación de los cuerpos vegetales y las áreas verdes.Entender las condiciones de los radios de influencia de cada espacio público es necesario para jerarquizar y monitorear los elementos que contribuyen a dinámicas sociales positivas y negativas. Desconocer esta realidad contextual perpetua la incidencia ineficiente.Actualmente se destina importante cantidad de recursos en proyectos de intervención sobre el espacio público y en estrategias de cuidado ambiental, mismas que carecen de diagnósticos integrales y escenarios estratégicos para eficientizar el gasto público.Finalmente, no se contará con la medición y monitoreo adecuado de la realidad física y medioambiental del municipio, por lo que el trazado de líneas de acción a nivel planeación no será posible.",,1000000,1000000,No linked action
2025 Disclosure Cycle,779465,CDP,930758,City of Srebrenik,City,Europe,Bosnia and Herzegovina,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,No relevant projects,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,931095,Lake District National Park Authority,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Land-Use,Farming in Protected Landscapes,Implementation,Project partially funded and seeking additional funding,Public finance- national government|Public-private partnership,"Farming in Protected Landscapes (FiPL) is a UK government grant program that provides funding to farmers and land managers in England's National Parks and National Landscapes. The program supports projects focused on nature recovery, mitigating climate change, enhancing public access and enjoyment of the landscape, and protecting cultural heritage and the rural economy. Unlike traditional agri-environment schemes, FiPL is a competitive program with funding delivered locally by the National Park and National Landscape authorities, allowing for tailored projects that meet local priorities. In the Lake District the relevant prirorities are:\nNature\nProjects in the Windermere catchment, Coniston catchment or the priority river catchments of Kent, Ehen, Eden, and Derwent that inform, and/or deliver on-farm water quality improvements or water slowing and storing interventions to reduce run-off.\nHabitat surveys for farm holdings, where these will support the achievement of FiPL outcomes.\nManagement of habitats for invertebrates, birds or other priority species highlighted in the Lake District's Nature Recovery Delivery Plan (page 12), such as red squirrel and otters.\nSmall scale projects to enhance, restore and create habitat that are of priority in the National Park - see Annex 1 of the Lake District's Nature Recovery Delivery Plan - for example ponds and scrapes, species rich hay meadows, woodland edge and regenerative scrub, and creation of wildlife refuges such as Sandmartin holes.\nClimate\nDelivery of climate resilience initiatives, for example rainwater harvesting, letting rivers and watercourses re-wiggle or creating features to slow the flow of flood waters such as leaky barriers, buffer strips and bunds.\n\nhttps://www.lakedistrict.gov.uk/caringfor/farming/farming-in-protected-landscapes\n",,490000,,Adaptation Action 1|Adaptation Action 2|Adaptation Action 3
2025 Disclosure Cycle,779465,CDP,931104,City of Leh,City,India,India,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,No relevant projects,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,2011429,Municipality of Belsh,City,Europe,Albania,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,No relevant projects,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,2012299,Warwick District Council,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Buildings,Decarbonising Lighting at the Spa Centre,Transaction preparation,Project partially funded and seeking additional funding,Public finance- own budget,"The lighting retrofit at the Royal Spa Centre begins on the 4th of August.\n\nWe are replacing all existing fluorescent and tungsten lighting with energy efficient LEDs. We are including smart controls in lesser used areas (corridors and toilets) including microwave and PIR sensors. Additionally, all specialist stage lighting is being upgraded to state-of-the-art LED performance lighting. \n\nThe new lighting is expected to reduce electricty use by 67,000 kWh per year. An annual carbon saving of 14 tonnes.\nThis is a saving of approximately £17,500 at today's energy rates. \n",,,,No linked action
2025 Disclosure Cycle,779465,CDP,2012299,Warwick District Council,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,2,Row 2,Renewable energy,Battery Storage,Project feasibility,Project not funded and seeking full funding,Public finance- own budget,"Namane Solar to site a 50MW battery energy storage system (BESS) on Warwick DC owned land. This would store excess electricity generated during the day from the solar farm they are building nearby to be used in the evening. 50MW can support 80,000 households power demands.",,,,No linked action
2025 Disclosure Cycle,779465,CDP,2012299,Warwick District Council,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,4,Row 4,Buildings,St Nicholas Park Leisure Centre ,Implementation,Project partially funded and seeking additional funding,Grants|Public finance- own budget,"a.\tWDC Sports and Leisure Officers have been successful in securing a grant from Sport England to fund solar PV at St Nicks.\nb.\tThe Climate Change Team have been working closely with Neighbourhood Services to deliver a well-designed scheme, including essential repairs, and roof upgrades to meet current building regulation standards.\nc.\tWorks are due to begin in September.\nd.\tThe designed array has a generating capacity of 253kWp, and is expected to generate over 210,000 kWh of electricty annually. \ne.\tThis is WDC's biggest PV installation to date, and will reduce carbon emissions by up to 42 tonnes per year. \n\n",,,,No linked action
2025 Disclosure Cycle,779465,CDP,2012301,Broads National Park Authority,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Transport,Electrifying the Broads ,Project feasibility,Project not funded and seeking full funding,Grants,"Electrifying the Broads (Project number 10008242) is a feasibility study funded under Strand 1 of the Clean Maritime Demonstration Competition (2021-22). Four organisations led by RenEnergy, including the Broads Authority, Norfolk Broads Direct and Hydrogen East, partnered to carry out this whole \nsystems study with the aim of specifying a demonstrable pathway to decarbonising inland waterways hire cruisers on the Broads. Broads hire cruisers were chosen as a target sector because they represent a significant contributor to the local economy, and are representative of other heavily-used inland waterways recreational vessels making a relatively high contribution to greenhouse gas emissions compared to other inland waterways vessels. \n\nThe Broads offers an ideal context in which to test and measure assumptions, from which valuable high resolution performance and user data will be acquired to form the basis of future designs for the electrification of inland waterways craft. \n\nObjectives \n\nOur objectives were to gather geospatial, \n technological and socio-economic data, to lay the foundations for a demonstration that would help to resolve the challenge of converting an existing fleet to clean energy by electrification. We aimed to resolve a trilemma concerning provision of sufficient onboard electrical energy, sufficient shoreside charging infrastructure to support battery recharging against the costs and benefits for scaling the solutions. Based on our feasibility study, we have concluded that it should be possible to operate a fully electric hire cruiser on the Broads, provided adequate shoreside infrastructure is in place. We recommend proving this with the proposed demonstration project.\n\nhttps://www.broads-authority.gov.uk/__data/assets/pdf_file/0027/429651/electrifying-the-broads-pdf.pdf",,900000,800000,No linked action
2025 Disclosure Cycle,779465,CDP,2012301,Broads National Park Authority,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,2,Row 2,Transport,Hydrogen Maintenance equipment ,Pre-feasibility/impact assessment,Project not funded and seeking full funding,Grants,"The Broads Authority has had initial conversations with a range of partners about launching a hydrogen pilot in the Broads. This is currently seen as the most viable way to decarbonise the heavy equipment used in the maintenance of the waterways, given the anticipated future shortage of biofuels. ",,,,No linked action
2025 Disclosure Cycle,779465,CDP,2012305,Exmoor National Park Authority,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Land-Use,Reviving Exmoor's Heartlands Landscape Recovery Scheme,Project feasibility,Project partially funded and seeking additional funding,Public-private partnership|Carbon markets|Public finance- national government|Private investment|Other: Biodiversity Net Gain|Grants,"Development phase of a Landscape Recovery Scheme as part of the Government's new environmental land management schemes. Will include peatland restoration, woodland and tree cover, regenerative agriculture",,,,
2025 Disclosure Cycle,779465,CDP,2012306,Loch Lomond and the Trossachs National Park Authority,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Other: Multiple from above: Transport; Land Use; Nature-Based Solutions; Sustainable food consumption/production.,Loch Lomond & The Trossachs Landscape Connections,Project feasibility,Project partially funded and seeking additional funding,Other: in-kind contributions from other public bodies' own budget|Grants|Public finance- national government|Public finance- own budget,"Built on the National Park's Future Nature Route Map, Loch Lomond & The Trossachs Landscape Connections is a multi-year, nature restoration at scale, exemplar Initiative. \n\nIt will restore the ecologically unique and culturally iconic woodland mosaic at the heart of the National Park. Temperate rainforest, montane scrub, ancient pinewoods and our cultural woodlands form one of the most biodiverse landscapes in the UK.\n\nFocused across three National Park landscape areas (The Great Trossachs Forest, Wild Strathfillan and Loch Lomond Rainforest) the Initiative aims to embed systemic change and accelerate delivery of a long-term vision for a thriving place, which is nature positive and carbon negative.\n\nWithin an hour for 50% of Scotland's population, a new restoration zone will protect and enhance this woodland mosaic and connect it to a wider more resilient nature network covering half the Park's area.  \n\nCentral to this Initiative will be more empowered communities, landowners, businesses and visitors sharing nature restoration benefits and ensuring a healthy future for our species and habitats, and a lasting legacy of skills, training, jobs and inspiring experiences.\n",LLT_Landscape_Connections_2page_Summary_Aug25.pdf,16565637,11595946,Adaptation Action 8|Mitigation Action 4|Mitigation Action 2|Mitigation Action 6|Adaptation Action 6|Mitigation Action 5
2025 Disclosure Cycle,779465,CDP,2012306,Loch Lomond and the Trossachs National Park Authority,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,2,Row 2,Transport,Loch Lomond & The Trossachs National Park Mobility Partnership,Project structuring,Project partially funded and seeking additional funding,Other: In-kind resources from other public and private bodies. Contributions from community-based organisations|Public finance- own budget|Public finance- national government|Grants,"Establishing a new National Park Mobility \nPartnership and governance model where key \npartners share resources, assets, skills and \nrevenue to enhance the low-carbon mobility \nchoices for popular and essential journeys into \nand within the National Park.\n\nhttps://www.lochlomond-trossachs.org/wp-content/uploads/2025/02/Agenda-Item-8-NP-Mobility-Partnership-Programme-Update-FINAL.pdf\n",,900000,700000,Mitigation Action 16|Mitigation Action 18|Mitigation Action 17
2025 Disclosure Cycle,779465,CDP,2012307,New Forest National Park Authority,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Nature-Based Solutions,Re:New Nature Partnership,Project structuring,Project partially funded and seeking additional funding,"Other: Biodiversity Net Gain, possible voluntary nature credits finance if mechanisms in place|Grants|Private investment",Development of pipeline of strategic nature improvement projects which will deliver enhanced climate resilience (adaptation) and mitigation.,,10000000,10000000,No linked action
2025 Disclosure Cycle,779465,CDP,2012307,New Forest National Park Authority,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,2,Row 2,Other: Green finance development,New Forest Green Finance,Project feasibility,Project not funded and seeking full funding,Public finance- national government|Public-private partnership|Grants|Public finance- own budget,Scope out Green Finance Strategy to funnel further financial investment into climate action in the National Park.,,0,0,No linked action
2025 Disclosure Cycle,779465,CDP,2012308,North York Moors National Park Authority,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,No relevant projects,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,2012309,Northumberland National Park Authority,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Nature-Based Solutions,Hadrian's Wall Wetlands Landscape Recovery Project\n\nThis is a major nature restoration initiative within Northumberland National Park.\n\n,Project structuring,Project partially funded and seeking additional funding,Public-private partnership,"https://www.northumberlandnationalpark.org.uk/hadrians-wall-wetlands-landmark-nature-recovery-project-aims-to-help-tackle-climate-and-biodiversity-crises/\n\nThe Hadrian's Wall Wetlands Landscape Recovery Project is a transformative nature restoration initiative; it aims to restore and enhance over 4,400 hectares of carbon rich landscapes surrounding Hadrian's Wall, integrating climate action, biodiversity recovery, and cultural heritage protection.\n\nThe overall objectives are as follows. Restore degraded peatlands and wetlands to enhance carbon sequestration and reduce emissions.\nReconnect fragmented habitats across farmland, forestry, and nature reserves.\nProtect and interpret cultural heritage, including 12.8 km of Hadrian's Wall World Heritage Site.\nSupport sustainable land management and regenerative agriculture.\nEngage communities and visitors in nature recovery and climate resilience.\n\n\nWe have received a £750,000 DEFRA grant for the development phase (2023 to 2025) and £490,000 philanthropic pledge for restoration and monitoring.\nThere has been £143,714 Landscape Enhancement Initiative funding for erosion control and trail restoration; £103,752 Countryside Stewardship revenue and £77,163 capital for sustainable land management at Greenlee. The project aims to secure long-term government and private funding for a 20 year delivery phase.\nThis will likely include: additional DEFRA and UK government climate funds, carbon market revenues (e.g. peatland and woodland sequestration), ecosystem service payments (e.g. flood mitigation, biodiversity credits) and further partnership contributions.\nWhile the exact total cost for the full 20-year programme is not yet published, it is expected to be multi-million pound, potentially exceeding £10 million, depending on the scale of restoration, monitoring, and community engagement activities.\n\nThe project is designed as a 20 year landscape recovery programme, contributing to the UK's net zero goals and enhancing the ecological and cultural value of Hadrian's Wall. ",,10000000,10000000,Adaptation Action 1
2025 Disclosure Cycle,779465,CDP,2012309,Northumberland National Park Authority,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,2,Row 2,Land-Use,"Farming in Protected Landscapes (FiPL) Programme\n\nMost projects mentioned in this application are delivered through a mix of blended financing with the Authority acting as a catalyst/enabler. As the Authority owns less than 0.2% of the National Park, action is delivered through engagement with landowners, with staff sourcing grants and public/private funding to enable projects to happen.",Implementation,Project partially funded and seeking additional funding,Grants|Public finance- national government,"https://www.northumberlandnationalpark.org.uk/nature-landscape/farming/farming-in-protected-landscapes/\n\nFunded by Defra, FiPL supports farmers and land managers to deliver projects that benefit nature, climate, people, and place. The programme runs until March 2026.\n\nExamples of FiPL projects:\nCarbon and biodiversity audits, conducted by the Scottish Agricultural College across multiple farms. Helps farmers understand their carbon footprint and biodiversity value. Informs future land management and environmental grant applications.\n\nAt High Carrick, a spring was diverted to prevent clean water from mixing with livestock waste.\nReduces sediment and nutrient runoff into the Elsdon Burn. Improves water quality and reduces climate related flood risks.\nGrant: £34,574\n\n\nAt Waterhead and Bradley Farm, a water system was installed to enable cattle grazing in areas previously inaccessible. Reduces overgrowth and improves habitat for curlew, lapwing, and snipe.\nSupports adaptive land use in response to changing climate conditions.\n\nProjects like Alnham Meadows Enhancement increase species diversity and pollinator habitat.\nEnhances carbon sequestration in soils and supports resilient ecosystems.\nLinks upland and lowland habitats for better landscape connectivity.\nGrant: £4,950.60\n\nBracken control: use of bracken mulchers to manage invasive vegetation. Improves access and reduces fire risk, which is increasing due to climate change. Supports low carbon tourism and landscape resilience.\n\nElectric bike hire: promotes low emission transport for visitors and enhances sustainable tourism infrastructure. Grant: £6,763.69\n\n\nFunding: Over the last four years, FIPL for the Northumberland National Park area has given out nearly £2 million in funds, worked with 301 farmers and land managers and funded 132 projects. \n",,2000000,2000000,
