disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Primary entity collaborated with,col2_Mechanisms used to collaborate,col3_Areas collaboration focused on,"col4_Description of collaboration and any progress, if applicable",col5_Other entities collaborated with
2025 Disclosure Cycle,779465,CDP,826431,Municipality of Loulé,City,Europe,Portugal,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",3,Row 3,Government/Public body: Other: Secção de Municípios para a Ação Climática da Associação Nacional de Municípios Portugueses,Knowledge or data sharing|Multi-jurisdictional regional collaboratives|Capacity development|Reporting of climate and/or environmental data,Energy|Emissions reduction|Adaptation|Finance|Education,"A Secção de Municípios para a Ação Climática da Associação Nacional de Municípios Portugueses (ANMP) foi criada devido a uma Moção de Recomendação proposta ao XXV Congresso da ANMP pelo Sr. Presidente da Câmara Municipal de Loulé, Vítor Aleixo. Esta secção, entre outros, tem os seguintes objetivos:1) Promover um processo planeado de incorporação da ação climática ao nível municipal, designadamente ao nível dos PDM em fase de revisão, ampliando as vantagens de integração de disposições de adaptação, mitigação e gestão e conhecimento nas políticas locais e nos instrumentos de planeamento;2) Proporcionar a partilha de boas práticas entre municípios em torno do desígnio comum da ação climática;3) Promover a capacitação dos municípios nos eixos principais da ação climática, nomeadamente da adaptação e mitigação às alterações climáticas ao nível local;4) Permitir o desenvolvimento de relações de cooperação entre municípios, facilitando a implementação e desenvolvimento de projetos, bem como contribuir para um espaço de reflexão no que respeita a programas, legislação, candidaturas e instrumentos de financiamento que apoiem a ação climática;5) Intensificar a exigência de mais meios técnicos, legais e financeiros para que os municípios possam cumprir a sua missão indispensável e indelegável nas políticas nacionais e europeias de ação climática.",Academia|Local government within country/area
2025 Disclosure Cycle,779465,CDP,826431,Municipality of Loulé,City,Europe,Portugal,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",4,Row 4,Government/Public body: Other: Empresas Municipais,Climate action plan implementation|Capacity development|Knowledge or data sharing|Reporting of climate and/or environmental data|Collaborative initiative|Project implementation and management|Policy and regulation development/ implementation,Emissions reduction|Inclusive climate action and/or equity|Energy|Resilience|Other: Eficiência Hídrica; Eficiência Energética|Transport (Mobility)|Building and Infrastructure|Adaptation|Natural environment,"As empresas municipais Infralobo, Infraquinta e Vilamoura, entidades responsáveis pela gestão das infraestruturas, espaço público e mobilidade nos territórios de Vale do Lobo, Quinta do Lago e Vilamoura, respetivamente (parcelas do território municipal), são parceiros privilegiados na promoção e implementação da política climática local.A colaboração com o município inclui a implementação de medidas e projetos no âmbito da ação climáticas (gestão sustentável e eficiente da água, eficiência energética e energias renováveis e mobilidade sustentável, entre outras), a capacitação técnica e a partilha de informação e de boas práticas. ",Academia|Waste|Communication Services
2025 Disclosure Cycle,779465,CDP,826431,Municipality of Loulé,City,Europe,Portugal,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",5,Row 5,Civil society: Climate initiatives/networks,Capacity development|Convening industry groups|Collaborative initiative|Multi-jurisdictional regional collaboratives|Knowledge or data sharing|Reporting of climate and/or environmental data,Inclusive climate action and/or equity|Finance|Public health|Ecosystem restoration|Building and Infrastructure|Landscape and jurisdictional approaches|Adaptation|Natural environment|Education|Resilience,"A adapt.local - Rede de Municípios para a Adaptação Local às Alterações Climáticas foi criada em dezembro de 2016, decorrente do projeto ClimAdaPT.Local, em que os municípios beneficiários do projeto, mediante a assinatura de uma Carta de Compromisso, formalizaram a constituição de uma parceria informal, liderada por municípios, e envolvendo outras instituições, designadamente de ensino superior, centros de investigação, organizações não-governamentais e empresas, com a finalidade de dinamizar a adaptação local às alterações climáticas em Portugal. A Rede foi formalizada no dia 31 de março de 2017, na cidade de Guimarães, na primeira reunião, onde o presidente da Câmara Municipal de Loulé, Vítor Aleixo, foi eleito o presidente do Conselho Coordenador da adapt.local, por toda a relevância que dá a esta temática tanto a nível local como nacional.Em maio de 2022, como consequência da dinâmica e do trabalho desenvolvido, a adapt.local formalizou-se como uma associação de direito privado, sem fins lucrativos, reforçando assim a sua capacidade de atuação e de intervenção. Nas eleições dos órgãos sociais, ocorridas em setembro de 2022, o presidente da Câmara Municipal de Loulé, Vítor Aleixo, foi eleito presidente da direção da adapt.local.A adapt.local assume como missão promover um processo contínuo de planeamento adaptativo que aumente a capacidade dos municípios portugueses e de outras entidades, públicas ou privadas, em incorporar a adaptação às alterações climáticas nas suas políticas de atuação e nos seus instrumentos, afirmando a importância da escala local para a conceção e implementação de soluções de adaptação mais eficazes, eficientes e equitativas.",NGO and associations|Industry trade group|Academia
2025 Disclosure Cycle,779465,CDP,826431,Municipality of Loulé,City,Europe,Portugal,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",6,Row 6,Business: Other: Tecnologia e Inovação,Other: Quantificação de Serviços Ecossistémicos; Mercado Local de Carbono e Balanço de Carbono|Collaborative initiative|Capacity development|Knowledge or data sharing|Reporting of climate and/or environmental data|Project implementation and management|Climate action plan implementation,Adaptation|Resilience|Ecosystem restoration|Inclusive climate action and/or equity|Other: Objetivos de Desenvolvimento Sustentável|Emissions reduction|Natural environment|Energy|Transport (Mobility),"O Município de Loulé celebrou a 19.01.2023, um Protocolo de colaboração com o CEiiA - Centro de Engenharia e Desenvolvimento, com o objetivo de aprofundar conhecimento nas áreas do ambiente e da ação climática, e tendo como propósito da cooperação o alcance dos objetivos comuns das partes relativamente à neutralidade carbónica, à integração de Loulé na rede de cidades neutras em carbono, à redução das emissões de carbono na mobilidade e à quantificação do stock de carbono e respetivo potencial de sequestro deste pela biomassa vegetal, contribuindo para criar territórios mais sustentáveis e inclusivos, que melhorem a qualidade de vida dos cidadãos e o alcance da justiça climática.",Academia
2025 Disclosure Cycle,779465,CDP,826431,Municipality of Loulé,City,Europe,Portugal,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",7,Row 7,Government/Public body: Public authority,Reporting of climate and/or environmental data|Knowledge or data sharing|Collaborative initiative|Multi-jurisdictional regional collaboratives,Emissions reduction|Ecosystem restoration|Adaptation|Building and Infrastructure|Education|Other: Gestão da água; Pegada Carbónica; Serviços Ecossistemas; Proteção Zonas Costeiras|Energy|Natural environment,"Em complemento às parcerias e às dinâmicas existentes com as várias entidades governamentais locais e regionais no âmbito do Conselho Local de Acompanhamento (CLA) da Ação Climática, o Município de Loulé tem estabelecido com várias entidades locais e regionais contratos interadministrativos e/ou de outra tipologia, com vista à implementação de medidas de adaptação e/ou mitigação na sua área territorial. Dá-se como exemplo as parcerias existentes com a Agência Portuguesa do Ambiente - Administração da Região Hidrográfica do Algarve e com a Universidade do Algarve .",Academia|Public authority|Regional government
2025 Disclosure Cycle,779465,CDP,826431,Municipality of Loulé,City,Europe,Portugal,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",8,Row 8,Civil society: Climate initiatives/networks,Reporting of climate and/or environmental data|Collaborative initiative|Knowledge or data sharing|Capacity development,Ecosystem restoration|Adaptation|Resilience|Water|Inclusive climate action and/or equity|Natural environment,"O Município de Loulé, em 2024, aderiu ao ICLEI - Local Governments for Sustainability",Academia
2025 Disclosure Cycle,779465,CDP,826431,Municipality of Loulé,City,Europe,Portugal,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",9,Row 9,Civil society: NGO and associations,Collaborative initiative|Knowledge or data sharing|Capacity development,Emissions reduction|Building and Infrastructure|Public health|Inclusive climate action and/or equity|Transport (Mobility),"O Município de Loulé integra a Rede de Cidades e Vilas que Caminham.\nA Câmara Municipal de Loulé aderiu formalmente à Rede de Cidades e Vilas que Caminham, através de um protocolo celebrado com o Instituto de Cidades e Vilas com Mobilidade (ICVM), no dia 14 de dezembro de 2023.\n\nA bandeira da rede foi hasteada nos Paços do Concelho e passa a ser, a partir de agora, o símbolo da aposta da Autarquia em que cada vez mais cidadãos andem a pé pela cidade, optando pelo caminhar em detrimento do uso do carro. Há diversas mais-valias neste projeto, que vão da melhoria da saúde pública dos habitantes à economia de proximidade que beneficiará o comércio local. Mas também o fortalecimento da sociabilização no espaço público, por exemplo com o regresso do “caminho da escola”, a acessibilidades para todos os cidadãos, a “amigabilidade” da cidade e dos lugares urbanos e, naturalmente, o contributo para a mitigação das alterações climáticas.\n\nEsta rede portuguesa foi criada com o objetivo de estabelecer uma plataforma de partilha de experiências e de soluções que constituem excelentes exemplos de boas práticas urbanas em matéria de mobilidade sustentável, suave e ativa.\n\nÉ um projeto que pretende garantir, aos municípios integrantes, o desenvolvimento de trabalhos para uma cidade mais qualificada e inclusiva, onde o andar a pé se pretende tornar como o mais importante modo de deslocação.",Local government within country/area|Vulnerable population groups|Residents/community groups|Academia|Public authority
2025 Disclosure Cycle,779465,CDP,826431,Municipality of Loulé,City,Europe,Portugal,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",10,Row 10,Government/Public body: Local government within country/area,Capacity development|Climate action plan implementation|Reporting of climate and/or environmental data|Collaborative initiative|Knowledge or data sharing|Financing (investment),Adaptation|Resilience|Building and Infrastructure|Natural environment|Ecosystem restoration|Water|Inclusive climate action and/or equity|Finance|Public health|Education,"Loulé integra o consórcio da Rede UrbanAdaPT - - Rede Urbana para a Resiliência Climática, liderado pelo Laboratório da Paisagem, sediado em Guimarães e em representação do Município de Guimarães, e que contempla ainda o Município de Águeda, o Município de Torres Vedras, os Serviços Municipalizados de Água e Saneamento de Torres Vedras e o Município de Mértola. A parceria proposta beneficia da experiência das sinergias anteriormente efetuadas, bem como as metodologias de trabalhos já implementadas pelos centros urbanos parceiros, o que demonstra competências, experiência e maturidade para alicerçar e implementar este projeto.\n\nA estratégia multi-regional da rede UrbanAdaPT pretende responder aos desafios específicos dos parceiros do consórcio de acordo com as suas especificidades geográficas. Pretende-se com esta proposta desenvolver um conjunto de ações imateriais e materiais que permitam desenvolver uma resposta integrada aos desafios climáticos, promovendo as infraestruturas verde e azul, de modo a potenciar uma gestão eficiente e sustentável dos territórios;\n\nFace aos desafios locais e à política e instrumentos de ação climática instituídos, no contexto da presente Rede Urbana, os desafios locais específicos de Loulé interligam-se com os desafios dos demais centros urbanos parceiros, destacando-se o desenvolvimento de projetos relacionados com amenização térmica e mitigação dos efeitos da ilha de calor urbano, eficiência hídrica, promoção da circularidade da água em meio urbano e reutilização da água, reabilitação de linhas de água e projetos de capacitação, educação e sensibilização, na resposta aos quais, a partilha de metodologias de trabalho, conhecimento e boas práticas podem indiscutivelmente potenciar os resultados a obter.",Public authority|Climate initiatives/networks|Local government within country/area|Academia|NGO and associations
2025 Disclosure Cycle,779465,CDP,826431,Municipality of Loulé,City,Europe,Portugal,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",11,Row 11,Civil society: Climate initiatives/networks,Reporting of climate and/or environmental data|Knowledge or data sharing|Collaborative initiative|Capacity development,Adaptation|Inclusive climate action and/or equity|Resilience,"No âmbito da sua política local de ação climática, o Município de Loulé preencheu e submeteu, no dia 17.11.2022, o pedido de adesão ao Programa EU Missions - Missão Adaptação às Alterações Climáticas da União Europeia, cujo objetivo é apoiar as regiões, comunidades e autoridades locais a tornarem-se mais resilientes às alterações climáticas até 2030. Após confirmação da adesão por parte do Secretariado da Missão, e para formalização da mesma, o Município de Loulé assinou, a 12.01.2023, a Carta de Compromisso da “Missão Adaptação às Alterações Climáticas”, documento que atesta a intenção e a vontade dos signatários em cooperar e alinhar intenções com outros signatários, para mobilizar recursos e desenvolver atividades na região para atingir as metas de adaptação. \nA adesão de Loulé foi aprovada em Reunião de Câmara a 23.01.2023 e em Assembleia Municipal a 24.02.2023.\nÀ data, são 294 as regiões e autoridades locais signatárias, oriundas de 25 estados membros da EU. \nA nível nacional, são 48 as entidades portuguesas (Municípios e Comunidades Intermunicipais) signatárias da Carta de Missão para a Adaptação às Alterações Climáticas (sendo Portugal o país europeu com maior número de entidades representadas).\nO Compromisso da “Missão Adaptação às Alterações Climáticas” não é vinculativo, mas atesta a intenção e a vontade dos signatários em cooperar e alinhar intenções com outros signatários, para mobilizar recursos e desenvolver atividades na região para atingir as metas de adaptação.\nA Missão Adaptação às Alterações Climáticas da EU pretende: \n• Contribuir para colocar em prática a Estratégia Europeia de Adaptação às AC;\n• Ajudar as regiões a compreender melhor os seus riscos climáticos (atuais e futuros); \n• Desenvolver caminhos de adaptação para as regiões/autoridades locais estarem melhor preparadas para lidar com as mudanças climáticas;\n• Testar e implementar no terreno soluções inovadoras necessárias para construir resiliência climática;\n• Responder às barreiras à adaptação climática.\nAs comunidades, regiões e autoridades locais envolvidas, ao assinarem o Compromisso “Missão Adaptação às Alterações Climáticas”, tornam-se parte de uma comunidade que lhes permitirá: \n• Aceder a conhecimentos e métodos sobre avaliação de risco climático;\n• Aceder aos últimos resultados, pesquisas e estudos sobre adaptação climática;\n• Obter apoio para conectar/relacionar esses resultados e estudos com os planos de adaptação, roteiros ou caminhos de adaptação locais;\n• Ter acesso a ferramentas e a boas práticas no âmbito do envolvimento e participação dos cidadãos;\n• Obter aconselhamento sobre possíveis fontes de financiamento público e privado para adaptação;\n• Facilitação na identificação e constituição de parcerias e/ou consórcios no âmbito da adaptação (incluindo em programas de financiamento).\n",Local government outside of country/area|Academia|Climate initiatives/networks
2025 Disclosure Cycle,779465,CDP,826431,Municipality of Loulé,City,Europe,Portugal,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",12,Row 12,Government/Public body: Local government within country/area,Climate action plan implementation|Knowledge or data sharing|Capacity development|Project implementation and management|Policy and regulation development/ implementation|Financing (investment)|Collaborative initiative,Resilience|Inclusive climate action and/or equity|Building and Infrastructure|Natural environment|Ecosystem restoration|Education|Finance|Water|Public health|Adaptation,"No âmbito do Aviso (ITI) “Redes Urbanas” dos Programas Regionais NORTE2030, CENTRO2030, LISBOA2030, ALENTEJO2030 e ALGARVE2030 - Pré-qualificação, o município de Loulé integrou e integra o consórcio do Projeto UrbanAdaPT - Rede Urbana para a Resiliência Climática (liderado pelo Laboratório da Paisagem, e envolvendo o Município de Águeda, o Município de Torres Vedras, os Serviços Municipalizados de Água e Saneamento de Torres Vedras, o Município de Mértola. Desenvolvida em três fases, esta candidatura pretende concertar e articular entre parceiros um conjunto de ações imateriais (I) e materiais (M) que permitam desenvolver uma resposta integrada aos desafios climáticos, promovendo a resiliência em meio urbano, de modo a potenciar uma gestão eficiente e sustentável dos territórios envolvidos.\nSão objetivos gerais da Rede Urbana UrbanAdaPT:\ni) Desenvolvimento integrado nas zonas urbanas;\nii) Proteção e valorização do património natural;\niii) Mitigação e adaptação às alterações climáticas;\niv) Consciencialização e participação pública no desenvolvimento sustentável dos territórios.\nSão objetivos específicos, transversais a todos os parceiros que integram a Rede Urbana UrbanAdaPT:\ni) Desenvolver um modelo de governança local participativo que capitalize as melhores práticas, tecnologias e políticas para o desenvolvimento territorial integrado;\nii) Reduzir o efeito das ilhas de calor em ambientes urbanos;\niii) Promover a eficiência hídrica e a gestão sustentável da água, melhorando o ciclo urbano da água;\niv) Renaturalizar e reabilitar os corredores verdes e azuis e mitigar os efeitos das cheias e inundações;\nv) Educar e sensibilizar, transversalmente a todas as idades, sobre as temáticas propostas;\nvi) Contribuir para influenciar a orientação dos municípios na transição para uma economia circular, promovendo-se a criação de sinergias, capacitação ambiental, resiliência e proatividade dos parceiros perante os desafios da atualidade.\nA proposta de candidatura do consórcio inclui projetos relacionados com amenização térmica e mitigação dos efeitos da ilha de calor urbano, adaptação do espaço público a eventos extremos de temperatura e precipitação intensa, eficiência hídrica, promoção da circularidade da água em meio urbano e reutilização da água, reabilitação de linhas de água e projetos de capacitação, educação e sensibilização, na resposta aos quais, a partilha de metodologias de trabalho, conhecimento e boas práticas podem indiscutivelmente potenciar os resultados a obter.\nNo que se refere em concreto à proposta de candidatura do município de Loulé, a mesma inclui as seguintes operações/projetos:\n• LO2 - Estudo \'Vulnerabilidade ao Fenómeno de Ilha de Calor Urbano\'; \n• LO3 - Capacitação Técnica - Adaptação Climática do Espaço Urbano;\n• LO1 e LO5 - Escolas Circulares (três escolas);\n• LO6 - Adaptação Climática do Espaço Urbano - Circularidade da Água e Ilhas de Calor Urbano; \n• LO7 - Adaptação Climática do Espaço Urbano - Eventos Extremos de Precipitação;\n• LO8 - Criação de Ilhas Sombra em Meio Urbano;\n• LO4 e LO9 - Florestas Miyawaki (três escolas). ",
2025 Disclosure Cycle,779465,CDP,826431,Municipality of Loulé,City,Europe,Portugal,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",13,Row 13,Government/Public body: Local government outside of country/area,Capacity development|Collaborative initiative|Project implementation and management|Climate action plan implementation|Financing (investment)|Multi-jurisdictional regional collaboratives|Knowledge or data sharing|Policy and regulation development/ implementation,Adaptation|Inclusive climate action and/or equity|Public health|Ecosystem restoration|Building and Infrastructure|Resilience|Finance|Social Services,"O Município de Loulé foi convidado para integrar o consórcio europeu do projeto AGE-X-HEAT, que se encontra a preparar uma candidatura ao programa HORIZON-MISS-2025-01-CLIMA-04 - Testing and demonstrating innovative solutions to improve resilience to extreme heat, including addressing health impacts (Testar e demonstrar soluções inovadoras para melhorar a resiliência ao calor extremo, incluindo a abordagem dos impactos na saúde).\nO consórcio internacional inclui a Organização Mundial de Saúde, a Faculdade de Engenharia da Universidade do Porto, o Instituto do Ambiente da Finlândia, o Instituto da Habitação e Ambiente da Alemanha e o BC3 - Centro para as Alterações Climáticas do País Basco, entidades que irão definir e desenhar as soluções. Para além das entidades referidas, o consórcio inclui ainda 4+4 cidades de quatro países, nomeadamente: Tampere e Lathi (Finlândia), Hamburg e Bad Nauheim (Alemanha), Porto e Loulé (Portugal) e Bilbao Vitoria-Gasteiz (País Basco), autoridades locais que terão como papel demonstrar e replicar as soluções propostas para resposta de adaptação a eventos de calor extremo no ambiente construído, com especial ênfase no envelhecimento da população.\nDe acordo com o definido na call de candidatura, as soluções devem dar resposta a:\n• Desenvolver, demonstrar e avaliar medidas sistémicas para reduzir e gerir o stress térmico nos espaços públicos e privados e no ambiente construído, evitando, ao mesmo tempo, a “má adaptação”;\n• Desenvolver e demonstrar ações prontas a utilizar para os serviços de emergência, transporte público, etc., em caso de eventos de calor extremo, bem como apoiar o planeamento de preparação e prevenção de catástrofes.\n• Explorar e avaliar opções de financiamento inovadores para implementar as soluções de resiliência térmica propostas para regiões/autoridades locais, que operam em diferentes contextos (por exemplo, jurisdição, governação e partes interessadas, etc.).\nComo autoridade local, é esperado do município de Loulé uma estreita colaboração no desenvolvimento e melhoria de processos de planeamento, ações preparatórias e intervenções que visam reduzir o efeito do calor extremo entre a população idosa. Neste contexto, e enquanto cidade/concelho replicador, “O município de Loulé pretende adaptar/desenvolver, implementar e testar soluções que possam aumentar a resiliência da sua população idosa ao calor extremo e às ondas de calor.”\nAs medidas propostas pelo município de Loulé para incorporação na candidatura estão alinhadas com os seguintes eixos (AL) e foram as seguintes:\nAL1 - Diagnóstico Local e Identificação de Idosos Vulneráveis\n• Desenvolvimento de um \'mapa de calor\' da temperatura da cidade de Loulé | RESULTADO 1: Mapa de Calor e identificação de hotspots;\n• Inquérito aos idosos mais vulneráveis (i.e., em risco de exclusão social e/ou isolamento) através da compilação e cruzamento de bases de dados municipais existentes (por exemplo, proteção civil, serviços sociais, etc.) | RESULTADO 2: Lista dos idosos mais vulneráveis.\nAL2 - Rede Piloto de Abrigos Climáticos Acessíveis\n• Levantamento e mapeamento de locais existentes adequados para utilização como abrigos climáticos acessíveis durante períodos de calor extremo/prolongado | RESULTADO 3: Lista e mapa dos locais referidos;\n• Identificação de dois edifícios ou infraestruturas municipais existentes para utilização como abrigos de refrigeração acessíveis em caso de períodos de calor extremo/prolongado; Avaliação dos requisitos para a sua adaptação (por exemplo, climatização, zonas de estar, dispensadores de água, etc.) e implementação das obras necessárias | RESULTADO 4: Dois abrigos de refrigeração acessíveis;\n• Avaliação dos requisitos para a adaptação de espaços públicos exteriores (aqueles mais frequentados pela população idosa) mais suscetíveis ao efeito de \'ilha de calor\' (por exemplo, plantação de árvores para melhor sombreamento, criação de elementos de água para regulação da temperatura, etc.) | RESULTADO 5: Lista de espaços públicos e obras necessárias à sua adaptação;\n• Adaptação de um dos espaços públicos exteriores acima referidos, considerado prioritário | RESULTADO 6: Um espaço público exterior adequadamente adaptado a períodos de calor extremo/prolongado.\nAL3 - Sistema de Alerta Precoce e Rede de Apoio\n• Desenvolvimento de um Plano/Protocolo de Contingência e de um sistema de alerta precoce, especificamente dirigido aos idosos mais vulneráveis, em caso de períodos de calor extremo/prolongado | RESULTADO 7: Plano/Protocolo de Contingência e sistema de alerta precoce.\nAL4 - Combate à Pobreza Energética entre Idosos\n• Aproximar os dois Balcões de Energia de Loulé (um localizado num espaço físico e o outro móvel) da população idosa, oferecendo-lhes consultoria sobre como tornar as suas casas mais resistentes às alterações climáticas e orientando-os sobre quaisquer oportunidades de financiamento disponíveis.\nAL5 - Monitorização, Partilha de Informação e Divulgação\n",
2025 Disclosure Cycle,779465,CDP,826431,Municipality of Loulé,City,Europe,Portugal,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",14,Row 14,Government/Public body: Regional government,Multi-jurisdictional regional collaboratives|Collaborative initiative|Climate action plan implementation|Capacity development|Knowledge or data sharing|Policy and regulation development/ implementation,Social Services|Emissions reduction|Resilience|Water|Inclusive climate action and/or equity|Adaptation|Agriculture|Waste|Transport (Mobility)|Finance|Forestry|Industry|Education|Building and Infrastructure|Energy|Ecosystem restoration|Public health|Food|Natural environment,"A Comunidade Intermunicipal do Algarve (AMAL) encontra-se a desenvolver o Plano Intermunicipal de Ação Climática do Algarve (PIAC-AMAL), que aborda duas vertentes essenciais: a adaptação, atualizando as medidas do plano anterior de 2019, e a mitigação, uma nova componente que analisa a situação regional face à neutralidade carbónica.\nNeste momento está a ocorrer a Etapa 5 - Atualização dos Objetivos, Opções, Estratégicas Setoriais e Medidas de Adaptação da elaboração do Plano, estando prevista a sua conclusão e apresentação para fevereiro de 2026.\nEste plano inclui a realização de várias sessões e ferramentas sectoriais participativas, a decorrer durante o ano de 2025, momentos que têm contado com a participação e contributo do município de Loulé, nomeadamente através da participação quer nos workshops quer nos questionários temáticos realizados, dando o seu contributo técnico em áreas como a mobilidade sustentável, eficiência energética, temperaturas elevadas, zonas costeiras, etc.",
2025 Disclosure Cycle,779465,CDP,826431,Municipality of Loulé,City,Europe,Portugal,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",15,Row 15,Government/Public body: Local government within country/area,Policy and regulation development/ implementation|Collaborative initiative|Knowledge or data sharing|Capacity development|Multi-jurisdictional regional collaboratives,Resilience|Other: Capacitação Técnica|Inclusive climate action and/or equity|Adaptation,"O município de Loulé preside à Direção da Associação adapt.local - Rede de Municípios para a Adaptação Local às Alterações Climáticas, entidade que tem como objetivo criar e manter uma rede de municípios e outras entidades, públicas e privadas, para dinamizar a adaptação local às alterações climáticas em Portugal. Promove um processo contínuo de planeamento adaptativo, reforçando a capacidade das entidades em integrar a adaptação climática nas suas políticas e instrumentos, valorizando a escala local para soluções mais eficazes, eficientes e equitativas. Loulé integra igualmente o Secretariado de Gestão da associação.\nÀ data, a adapt.local é composta pelos seguintes associados, de acordo com a sua categoria: • Associados Efetivos (28) [Municípios de: Almada, Amarante, Baião, Braga, Bragança, Cascais, Castelo Branco, Castelo de Vide, Coruche, Ferreira do Alentejo, Figueira da Foz, Funchal, Guimarães, Ílhavo, Lagos, Leiria, Lisboa, Loulé, Mafra, Matosinhos, Montalegre, Odemira, Seia, Sintra, Tomar, Torres Vedras, Viana do Castelo e Vila Franca do Campo] e • Associados Auxiliares (20) [Associação Bandeira Azul da Europa (ABAE), Centro de Estudos de Desenvolvimento Regional e Urbano (CEDRU), Comunidade Intermunicipal do Baixo Alentejo (CIMBAL), EcoSativa, Get2C, Instituto de Ciências Sociais da Universidade de Lisboa (ICS-ULisboa), Instituto de Geografia e Ordenamento do Território (IGOT) da Universidade de Lisboa, Laboratório da Paisagem; PATER - Mais Território, Planning4People (P4P), QUERCUS, Sketches & Sceneries - Consultoria, Unipessoal Lda., Universidade do Minho, ZERO - Associação Sistema Terrestre Sustentável, Universidade Nova de Lisboa; Universidade do Algarve, Simbiente- Engenharia e Gestão Ambiental, Simbiente Açores; SPI- Sociedade Portuguesa de Inovação e WWF Portrugal].\nPara além da organização e realização das reuniões semestrais da Assembleia Geral e da Direção, bem como dos demais orgãos sociais, e de acordo com o Programa de Ação 2023-2025 e com Plano de Atividades 2025, a adapt.local estrutura a sua dinâmica de atividades em torno de quatro prioridades estratégicas — capacitação em rede, notoriedade da ação climática, promoção da urgência da adaptação e reforço organizativo — traduzidas em ações concretas. No eixo da capacitação, mantém os grupos de trabalho temáticos, encontra-se a organizar um ciclo de webinars técnicos, bimensais, e encontra-se a trabalhar na preparação do Anuário de Boas Práticas, envolvendo municípios e parceiros. No campo da divulgação e notoriedade, a adapt.local encontra-se a reformular o seu website, a implementar o seu Plano de Comunicação e na promoção da rede em fóruns especializados, reforçando a visibilidade das iniciativas dos associados e o papel da adapt.local no cenário nacional e internacional. Em 2025, foi organizado o adapt.local.25 - IX Seminário Anual de Adaptação Local às Alterações Climáticas, realizado a 18 de junho, em Braga.",
