disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Further information,col2_Further attachments
2025 Disclosure Cycle,779465,CDP,50381,Municipio de Torreón,City,Latin America,Mexico,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"En el apartado 03. Evaluación - Inventario de Emisiones, debería de existir una opción en la columna “Si no tiene información para reportar sobre emisiones directas, seleccione una clave de notación para explicar el por qué” en donde diga que ya se cargó la información, y así aparezca como completada la sección. Se tuvo que seleccionar la opción “Integrada en otro lugar” (cuando está cargada ahí mismo la información) ya que nunca nos permitió dejarla en blanco. ",
2025 Disclosure Cycle,779465,CDP,50382,Municipio de Mérida,City,Latin America,Mexico,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,Mediadas de Mitigación y Adaptación en Extenso,moduloAdapPACMUN1.pdf
2025 Disclosure Cycle,779465,CDP,50384,Prefeitura de Florianópolis,City,Latin America,Brazil,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Pedimos desculpas pelas alterações realizadas desse ano em relação ao ano passado. Esse ano preenchemos de forma que achamos mais adequada, considerando a publicação do Decreto que instituiu o Plano de Descarbonização do Município, colocando as metas intermediárias e meta final, considerando cenário da neutralidade.",
2025 Disclosure Cycle,779465,CDP,50385,Prefeitura de Campo Grande,City,Latin America,Brazil,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,Não temos comentários adicionais a fazer até o momento. \nDeixamos a disposição o link do Comitê Municipal de Enfrentamento às Mudanças Climáticas (COMEC) com as documentações dos trabalhos e dados sendo gerados.\n\nhttps://www.campogrande.ms.gov.br/planurb/comite-municipal-de-enfrentamento-as-mudancas-climaticas-comec/,
2025 Disclosure Cycle,779465,CDP,50390,Prefeitura de Teresina,City,Latin America,Brazil,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"1. Teresina assinou, em 2024, o Acordo para Redução da Temperatura (Global Cooling Pledge): Adotar práticas de resfriamento do clima. A meta é reduzir a temperatura da cidade em 2°C, um desafio ambicioso que demonstra o reconhecimento da urgência climática.\n\n2. Realizamos o I Fórum de Justiça Climática de Teresina foi realizado pela Agenda Teresina 2030 em parceria com o Fundo de Populações das Nações Unidas (em dezembro/2024). Teve como objetivo a formatação de políticas públicas mais direcionadas ao atendimento dessas populações em suas especificidades.\n\n3. Teresina foi convidada pela IBM e a C40 Cities como uma das seis cidades brasileiras a participarem do desenvolvimento da ferramenta Heat Insights, uma solução baseada em dados e alimentada por IA (inteligência artificial) para ajudar as cidades a analisar riscos potenciais que podem surgir como resultado do calor extremo e do efeito das ilhas de calor urbanas.\n\n","Global Cooling Pledge for COP28 TERESINA.pdf,Observações - Ag. 2030 (1).pdf,Parceria entre Agenda Teresina 2030 e IBM vai usar IA para prever riscos climáticos  _ SEMPLAN.pdf"
2025 Disclosure Cycle,779465,CDP,50396,Prefeitura Municipal de Santos,City,Latin America,Brazil,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"O município de Santos está implementando o projeto-piloto de Adaptação baseada em Ecossistemas (AbE) no Monte Serrat, que integra medidas de estabilização de encostas, restauração de vegetação nativa e soluções comunitárias para redução do risco de deslizamentos. Essa iniciativa promove benefícios ambientais (preservação da biodiversidade e dos serviços ecossistêmicos), sociais (proteção de famílias em áreas vulneráveis) e econômicos (redução de custos com emergências e valorização urbana).\n\nO projeto foi selecionado entre os dez finalistas do Acelerador de Soluções Baseadas na Natureza em Cidades, do WRI Brasil, e conta atualmente com a parceria estratégica da GIZ (Agência de Cooperação Alemã), que apoia tecnicamente a implementação e o monitoramento das ações.\n\nDisponível em: https://www.wribrasil.org.br/projetos/acelerador-de-solucoes-baseadas-na-natureza-em-cidades\n\nhttps://www.diariodolitoral.com.br/cotidiano/como-plantio-de-13-mil-arvores-muda-cenario-em-comunidade-no-litoral/191668/",
2025 Disclosure Cycle,779465,CDP,50540,"City of Albuquerque, NM",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Under the City's Climate Pollution Reduction Grant Planning Program, the Sustainability Office launched a Climate Strategy Workshop Series to inform the development of the Central New Mexico Comprehensive Climate Action Plan. These workshops featured a dedicated group of Community Task Force Members and a lineup of highly qualified Policy Advisors, engaging more than 500 participants across six workshops. From these five sessions, participants identified 25 climate actions to guide climate planning in the four-county region and, ultimately, the City's climate action plan update scheduled for 2026.\n\nWe also developed a workforce analysis and a greenhouse gas inventory, that will inform our climate actions moving forward.\n\nFor more information on this series, visit our campaign website: https://www.resilientfuturesnm.org/ \n",
2025 Disclosure Cycle,779465,CDP,50541,"City of Greensboro, NC",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"In July 2020, Greensboro achieved Silver certification in the US Green Building Council's LEED for Cities program ( https://www.greensboro-nc.gov/leed ). Greensboro was the first city in North Carolina to become certified in LEED for Cities. In 2025, Greensboro will seek recertification, aiming to reach the Gold level or higher.\n\nIn March 2022, Greensboro was awarded Bronze level designation ( https://www.greensboro-nc.gov/home/showpublisheddocument/53331/637933940689330000 ) in the SolSmart program, established by the US Department of Energy Solar Energy Technologies Office.",
2025 Disclosure Cycle,779465,CDP,50551,"City of Long Beach, CA",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,Long Beach Climate Action Plan\n\nhttps://www.longbeach.gov/globalassets/lbcd/media-library/documents/planning/lb-cap/adopted-lb-cap_-aug-2022,
2025 Disclosure Cycle,779465,CDP,50555,"City of Hamilton, ON",City,North America,Canada,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"For a copy of the City of Hamilton's most recent annual progress update provided to Council, or more information about the Office of Climate Change Initiatives please visit our City's website here: https://www.hamilton.ca/home-neighbourhood/environmental-stewardship/environmental-plans-strategies/hamiltons-climate ",
2025 Disclosure Cycle,779465,CDP,50558,"City of London, ON",City,North America,Canada,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,none,
