disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_requested_org_number,requested_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,questionnaire,eligible_pathway,selected_pathway,disclosure_status,public_status,previous_response_status
2025 Disclosure Cycle,779465,CDP,847922,Junta Municipal de Medio Ambiente Lagunas (JIMAL),847922,Junta Municipal de Medio Ambiente Lagunas (JIMAL),City,Latin America,Mexico,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,861779,Järfälla Municipality,861779,Järfälla Municipality,City,Europe,Sweden,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54509,Jönköping Municipality,54509,Jönköping Municipality,City,Europe,Sweden,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,74671,Kadıköy,74671,Kadıköy,City,UKWW,Türkiye,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60051,Kakinada Municipal Corporation,60051,Kakinada Municipal Corporation,City,India,India,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2027804,Kalasin Town Municipality,2027804,Kalasin Town Municipality,City,South East Asia & Oceania,Thailand,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2044749,Kalix Municipality,2044749,Kalix Municipality,City,Europe,Sweden,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,859096,Kamakura City,859096,Kamakura City,City,Japan,Japan,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,840192,Kandy Municipal Council,840192,Kandy Municipal Council,City,India,Sri Lanka,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,49330,"Kansas City, MO",49330,"Kansas City, MO",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31112,Kaohsiung City Government,31112,Kaohsiung City Government,City,China,East Asia,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2044754,Karatay Municipality,2044754,Karatay Municipality,City,UKWW,Türkiye,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,2044730,Katingan Regency,2044730,Katingan Regency,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,2045159,Khaoroopchang Town Municipality,2045159,Khaoroopchang Town Municipality,City,South East Asia & Oceania,Thailand,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,2045150,Khohong Town Municipality,2045150,Khohong Town Municipality,City,South East Asia & Oceania,Thailand,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,73738,Khon Kaen City Municipality,73738,Khon Kaen City Municipality,City,South East Asia & Oceania,Thailand,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,834161,Kinmen County Government,834161,Kinmen County Government,City,China,East Asia,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60105,Kirklees Council,60105,Kirklees Council,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,838939,Kocaeli Metropolitan Municipality,838939,Kocaeli Metropolitan Municipality,City,UKWW,Türkiye,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,73645,KwaDukuza,73645,KwaDukuza,City,UKWW,South Africa,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,49389,Kyoto City,49389,Kyoto City,City,Japan,Japan,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,848126,La Democracia,848126,La Democracia,City,Latin America,Guatemala,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,73793,La Estrella,73793,La Estrella,City,Latin America,Colombia,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2027928,La Joya de los Sachas,2027928,La Joya de los Sachas,City,Latin America,Ecuador,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,863470,Lago Agrio (Nueva Loja),863470,Lago Agrio (Nueva Loja),City,Latin America,Ecuador,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,840195,Laholm Municipality,840195,Laholm Municipality,City,Europe,Sweden,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,931095,Lake District National Park Authority,931095,Lake District National Park Authority,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,919730,Lambeth Council,919730,Lambeth Council,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,863206,Langsa City,863206,Langsa City,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,2044300,Laoag City,2044300,Laoag City,City,South East Asia & Oceania,Philippines,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,862949,Latacunga,862949,Latacunga,City,Latin America,Ecuador,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,73755,Legazpi City,73755,Legazpi City,City,South East Asia & Oceania,Philippines,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,929627,Lima Puluh Kota Regency,929627,Lima Puluh Kota Regency,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60178,Linköping Municipality,60178,Linköping Municipality,City,Europe,Sweden,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,863000,Lo Barnechea,863000,Lo Barnechea,City,Latin America,Chile,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2012306,Loch Lomond and the Trossachs National Park Authority,2012306,Loch Lomond and the Trossachs National Park Authority,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60226,Luleå Municipality,60226,Luleå Municipality,City,Europe,Sweden,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54519,Lund Municipality,54519,Lund Municipality,City,Europe,Sweden,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2045064,Magelang City,2045064,Magelang City,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,895681,Majlis Bandaraya Iskandar Puteri,895681,Majlis Bandaraya Iskandar Puteri,City,South East Asia & Oceania,Malaysia,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,859128,Makinohara City,859128,Makinohara City,City,Japan,Japan,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,74332,Manado City,74332,Manado City,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,862946,Manta,862946,Manta,City,Latin America,Ecuador,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,900978,Manzanillo,900978,Manzanillo,City,Latin America,Cuba,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,73758,Mataram City,73758,Mataram City,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54306,Medan City Government,54306,Medan City Government,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Activated
2025 Disclosure Cycle,779465,CDP,35873,Medellín,35873,Medellín,City,Latin America,Colombia,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2044732,Merauke Regency,2044732,Merauke Regency,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,838937,Mersin Metropolitan Municipality,838937,Mersin Metropolitan Municipality,City,UKWW,Türkiye,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,848568,"Metropolitan Council, Twin Cities",848568,"Metropolitan Council, Twin Cities",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,49335,"Metropolitan Government of Nashville and Davidson County, TN",49335,"Metropolitan Government of Nashville and Davidson County, TN",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,854042,Metropolitan Municipality of Milan,854042,Metropolitan Municipality of Milan,City,Europe,Italy,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,62171,Metropolitan Municipality of Rouen,62171,Metropolitan Municipality of Rouen,City,Europe,France,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31172,Mexico City,31172,Mexico City,City,Latin America,Mexico,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,73810,"Miami-Dade, FL",73810,"Miami-Dade, FL",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,848567,Mid-America Regional Council,848567,Mid-America Regional Council,City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,859095,Mizuho Town,859095,Mizuho Town,City,Japan,Japan,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,841491,Muar Municipal Council,841491,Muar Municipal Council,City,South East Asia & Oceania,Malaysia,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60388,Municipalidad Provincial de Chiclayo,60388,Municipalidad Provincial de Chiclayo,City,Latin America,Peru,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60396,Municipalidad Provincial de Maynas (Iquitos),60396,Municipalidad Provincial de Maynas (Iquitos),City,Latin America,Peru,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,58595,Municipalidad de Belén,58595,Municipalidad de Belén,City,Latin America,Costa Rica,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,848476,Municipalidad de Cañas,848476,Municipalidad de Cañas,City,Latin America,Costa Rica,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2044810,Municipalidad de Cerrillos,2044810,Municipalidad de Cerrillos,City,Latin America,Chile,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,840313,Municipalidad de Cerro Navia,840313,Municipalidad de Cerro Navia,City,Latin America,Chile,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2044811,Municipalidad de Cochrane,2044811,Municipalidad de Cochrane,City,Latin America,Chile,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,60407,Municipalidad de Colina,60407,Municipalidad de Colina,City,Latin America,Chile,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,2044814,Municipalidad de Curanilahue,2044814,Municipalidad de Curanilahue,City,Latin America,Chile,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,50371,Municipalidad de Córdoba,50371,Municipalidad de Córdoba,City,Latin America,Argentina,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,2046070,Municipalidad de Esperanza,2046070,Municipalidad de Esperanza,City,Latin America,Argentina,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,2045081,Municipalidad de Humberto Primo,2045081,Municipalidad de Humberto Primo,City,Latin America,Argentina,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,59166,Municipalidad de Independencia,59166,Municipalidad de Independencia,City,Latin America,Chile,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,58597,Municipalidad de La Unión,58597,Municipalidad de La Unión,City,Latin America,Costa Rica,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60905,Municipalidad de Maipú,60905,Municipalidad de Maipú,City,Latin America,Chile,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2044818,Municipalidad de Melipilla,2044818,Municipalidad de Melipilla,City,Latin America,Chile,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,831999,Municipalidad de Monteverde,831999,Municipalidad de Monteverde,City,Latin America,Costa Rica,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60410,Municipalidad de Peñalolén,60410,Municipalidad de Peñalolén,City,Latin America,Chile,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,831952,Municipalidad de Portoviejo,831952,Municipalidad de Portoviejo,City,Latin America,Ecuador,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,59167,Municipalidad de Providencia,59167,Municipalidad de Providencia,City,Latin America,Chile,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50368,Municipalidad de Provincial de Arequipa,50368,Municipalidad de Provincial de Arequipa,City,Latin America,Peru,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,831812,Municipalidad de Puerto Barrios,831812,Municipalidad de Puerto Barrios,City,Latin America,Guatemala,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,60892,Municipalidad de Punta Arenas,60892,Municipalidad de Punta Arenas,City,Latin America,Chile,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,930257,Municipalidad de Puyo,930257,Municipalidad de Puyo,City,Latin America,Ecuador,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,895694,Municipalidad de Quilicura,895694,Municipalidad de Quilicura,City,Latin America,Chile,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,2044840,Municipalidad de Quillota,2044840,Municipalidad de Quillota,City,Latin America,Chile,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,2044841,Municipalidad de Quinchao,2044841,Municipalidad de Quinchao,City,Latin America,Chile,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,2044815,Municipalidad de Rapa Nui (Isla de Pascua),2044815,Municipalidad de Rapa Nui (Isla de Pascua),City,Latin America,Chile,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,50373,Municipalidad de Rosario,50373,Municipalidad de Rosario,City,Latin America,Argentina,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2044842,Municipalidad de Saavedra,2044842,Municipalidad de Saavedra,City,Latin America,Chile,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,60391,Municipalidad de San Borja,60391,Municipalidad de San Borja,City,Latin America,Peru,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,929491,Municipalidad de San Lucas Sacatepéquez,929491,Municipalidad de San Lucas Sacatepéquez,City,Latin America,Guatemala,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60393,Municipalidad de Santiago,60393,Municipalidad de Santiago,City,Latin America,Chile,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,862948,Municipalidad de Sucre,862948,Municipalidad de Sucre,City,Latin America,Ecuador,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,60408,Municipalidad de Talca,60408,Municipalidad de Talca,City,Latin America,Chile,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60400,Municipalidad de Temuco,60400,Municipalidad de Temuco,City,Latin America,Chile,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,55371,Municipalidad de Vicente López,55371,Municipalidad de Vicente López,City,Latin America,Argentina,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60906,Municipalidad de Vitacura,60906,Municipalidad de Vitacura,City,Latin America,Chile,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50664,Municipality of Almada,50664,Municipality of Almada,City,Europe,Portugal,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,831674,Municipality of Amarante,831674,Municipality of Amarante,City,Europe,Portugal,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,850585,Municipality of Ambato,850585,Municipality of Ambato,City,Latin America,Ecuador,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31149,Municipality of Athens,31149,Municipality of Athens,City,Europe,Greece,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,918430,Municipality of Athienou,918430,Municipality of Athienou,City,Europe,Cyprus,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,35848,Municipality of Belo Horizonte,35848,Municipality of Belo Horizonte,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2011429,Municipality of Belsh,2011429,Municipality of Belsh,City,Europe,Albania,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,55334,Municipality of Braga,55334,Municipality of Braga,City,Europe,Portugal,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,826425,Municipality of Caldas da Rainha,826425,Municipality of Caldas da Rainha,City,Europe,Portugal,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,35897,Municipality of Campinas,35897,Municipality of Campinas,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50680,Municipality of Cascais,50680,Municipality of Cascais,City,Europe,Portugal,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2044725,Municipality of Choloma,2044725,Municipality of Choloma,City,Latin America,Honduras,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,834219,Municipality of Corrientes,834219,Municipality of Corrientes,City,Latin America,Argentina,2025 Questionnaire,Unknown,Unknown,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,826426,Municipality of Covilhã,826426,Municipality of Covilhã,City,Europe,Portugal,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,31156,Municipality of Curitiba,31156,Municipality of Curitiba,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,840161,Municipality of Del Carmen,840161,Municipality of Del Carmen,City,South East Asia & Oceania,Philippines,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,73683,Municipality of Durango,73683,Municipality of Durango,City,Europe,Spain,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,54467,Municipality of Eindhoven,54467,Municipality of Eindhoven,City,Europe,Netherlands,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,2044700,Municipality of Escobar,2044700,Municipality of Escobar,City,Latin America,Argentina,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,50673,Municipality of Faro,50673,Municipality of Faro,City,Europe,Portugal,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,826429,Municipality of Figueira da Foz,826429,Municipality of Figueira da Foz,City,Europe,Portugal,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,35865,Municipality of Fortaleza,35865,Municipality of Fortaleza,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60165,Municipality of Fuenlabrada,60165,Municipality of Fuenlabrada,City,Europe,Spain,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2044723,Municipality of Gualán,2044723,Municipality of Gualán,City,Latin America,Guatemala,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,834255,Municipality of Guaymallén,834255,Municipality of Guaymallén,City,Latin America,Argentina,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,55324,Municipality of Guimarães,55324,Municipality of Guimarães,City,Europe,Portugal,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,918264,Municipality of Ilion,918264,Municipality of Ilion,City,Europe,Greece,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,834261,Municipality of Irapuato,834261,Municipality of Irapuato,City,Latin America,Mexico,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Amended
2025 Disclosure Cycle,779465,CDP,918283,Municipality of Katerini,918283,Municipality of Katerini,City,Europe,Greece,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,74690,Municipality of L'Hospitalet de Llobregat,74690,Municipality of L'Hospitalet de Llobregat,City,Europe,Spain,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,834273,Municipality of Lautaro,834273,Municipality of Lautaro,City,Latin America,Chile,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,826431,Municipality of Loulé,826431,Municipality of Loulé,City,Europe,Portugal,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,832078,Municipality of Mafra,832078,Municipality of Mafra,City,Europe,Portugal,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,826405,Municipality of Maia,826405,Municipality of Maia,City,Europe,Portugal,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50669,Municipality of Matosinhos,50669,Municipality of Matosinhos,City,Europe,Portugal,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54478,Municipality of Nijmegen,54478,Municipality of Nijmegen,City,Europe,Netherlands,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2044708,Municipality of Otavalo,2044708,Municipality of Otavalo,City,Latin America,Ecuador,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,2044709,Municipality of Pasaje,2044709,Municipality of Pasaje,City,Latin America,Ecuador,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,35880,Municipality of Porto Alegre,35880,Municipality of Porto Alegre,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,834280,Municipality of Pérez,834280,Municipality of Pérez,City,Latin America,Argentina,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,35872,Municipality of Recife,35872,Municipality of Recife,City,Latin America,Brazil,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2044711,Municipality of Riobamba,2044711,Municipality of Riobamba,City,Latin America,Ecuador,2025 Questionnaire,Unknown,PATHWAY_1,Amended,Public,Unknown
2025 Disclosure Cycle,779465,CDP,31179,Municipality of Rotterdam,31179,Municipality of Rotterdam,City,Europe,Netherlands,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
