disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Safeguards in place,col2_Web link with additional information about the safeguard,"col3_Explain how the safeguard is implemented, or if there is no safeguard why this is the case"
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,5,Row 5,Monitoring systems to inform management of deforestation and/or forest degradation,"https://siga.meioambiente.go.gov.br/https://www.meioambiente.go.gov.br/noticias/2048-monitoramento-via-sat%C3%A9lite-ajuda-semad-a-combater-desmatamento-irregular-em-goi%C3%A1s.html?highlight=WyJtb25pdG9yYW1lbnRvIl0=https://www.meioambiente.go.gov.br/monitor-de-queimadas/boletim-queimadas.htmlhttps://www.meioambiente.go.gov.br/monitor-de-queimadas/mapas-tem%C3%A1ticos-de-risco-de-inc%C3%AAndio.htmlhttps://legisla.casacivil.go.gov.br/api/v2/pesquisa/legislacoes/104213/pdf#:~:text=JULHO%20DE%202021-,Institui%20o%20Comit%C3%AA%20Estadual%20de%20Gest%C3%A3o%20de%20Inc%C3%AAndios%20Florestais%20e,Goi%C3%A1s%2C%20nos%20termos%20do%20art.https://www.meioambiente.go.gov.br/cimehgo-noticias/2322-semad-lan%C3%A7a-monitor-de-queimadas-para-preven%C3%A7%C3%A3o-de-inc%C3%AAndios-florestais.html","O Monitoramento do desmatamento do Cerrado em Goiás realizado pela Semad conta com o auxílio de imagens via satélite fornecidas pelo Instituto Nacional de Pesquisas Espaciais (INPE), Planet e pela plataforma MapBiomas Alerta.A Semad disponibiliza atualização mensal dos dados de risco de tendência e riscos de incêndios nos municípios de Goiás realizada pelo projeto PrevFogo do CEMADEN e da Gestão de Risco e Impactos de Queimadas e Incêndios Florestais em cooperação com o Governo do Estado de Goiás.Ainda, o Centro de Informações Meteorológicas e Hidrológicas de Goiás (CIMEHGO) é responsável por produzir informações sobre a qualidade ambiental no estado de Goiás, dentre eles o Monitoramento de Queimadas, por meio de Boletim Queimadas, Banco de Dados de Queimadas e Mapas temáticos de Risco de Incêndio.De modo complementar, o Decreto Estadual Nº 9.909/2021 institui o Comitê Estadual de Gestão de Incêndios Florestais, órgão consultivo e deliberativo que objetiva promover a prevenção contra incêndios florestais, o combate a eles, se ocorrerem, e o controle de queimadas, por meio da articulação interinstitucional no território estadual; a formulação de políticas públicas, normas, diretrizes e ações; a integração da gestão de incêndios florestais às instâncias federais; e a implantação do Plano Estadual de Gestão de Incêndios Florestais - PEGI."
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,6,Row 6,National laws on improved forest management,"https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12651.htm;https://www.gov.br/ibama/pt-br/assuntos/biodiversidade/flora-e-madeira/arquivos/sinaflor/2014-12-24-IN-Ibama-21-sinaflor.pdf;https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2014/decreto/d8235.htm;https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/decreto/d7830.htm#:~:text=DECRETO%20N%C2%BA%207.830%2C%20DE%2017%20DE%20OUTUBRO%20DE%202012&text=Disp%C3%B5e%20sobre%20o%20Sistema%20de,2012%2C%20e%20d%C3%A1%20outras%20provid%C3%AAncias.;","A Lei Federal Nº 12.651/2012 estabelece normas gerais sobre a proteção da vegetação, áreas de Preservação Permanente e as áreas de Reserva Legal; a exploração florestal, o suprimento de matéria-prima florestal, o controle da origem dos produtos florestais e o controle e prevenção dos incêndios florestais, e prevê instrumentos econômicos e financeiros para o alcance de seus objetivos. Enquanto o Decreto Federal nº. 7.830/2012 dispõe sobre o SICAR, CAR e estabelece normas de caráter geral aos PRAs, o Decreto Federal nº 8.235/2014 estabelece normas gerais complementares aos PRAs dos Estados e do DF."
2025 Disclosure Cycle,779465,CDP,73179,Rondonia,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,National laws on avoided conversion,,
2025 Disclosure Cycle,779465,CDP,73179,Rondonia,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Regional laws on avoided conversion,,
2025 Disclosure Cycle,779465,CDP,73179,Rondonia,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,3,Row 3,Regional policies on improved forest management,,
2025 Disclosure Cycle,779465,CDP,74215,Misiones,States & Regions,Latin America,Argentina,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Traceability system for forest commodities,https://www.argentina.gob.ar/ambiente/bosques/sistema-de-administracion-control-y-verificacion-forestal-sacvefor,https://ecologia.misiones.gob.ar/trazabilidad-de-la-madera/
2025 Disclosure Cycle,779465,CDP,74215,Misiones,States & Regions,Latin America,Argentina,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Land use planning,https://ordenamientoterritorial.misiones.gob.ar/,Ministerio de Ecología de la provincia de Misiones.
2025 Disclosure Cycle,779465,CDP,74215,Misiones,States & Regions,Latin America,Argentina,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,3,Row 3,Management of Protected Areas,https://ecologia.misiones.gob.ar/anp-parques-provinciales/,"Estos parques, a diferencia de los nacionales, dependen administrativamente del gobierno provincial y gozan de protección absoluta. Su objetivo es conservar el estado natural del área, permitiendo únicamente las alteraciones mínimas necesarias para el control y la atención de visitantes.\n\nLa página proporciona información detallada sobre parques emblemáticos como Moconá, Salto Encantado y Urugua-í.\n\nAdemás, incluye un listado completo de los 21 parques provinciales, especificando su normativa de creación y su superficie en hectáreas. Entre los más extensos se encuentran el Parque Provincial Urugua-í (84.000 Ha), Esmeralda (31.569 Ha) y Salto Encantado (13.706 Ha). La ley marco que regula estas áreas es la Ley XVI - N° 29 (antes Ley 2932)."
2025 Disclosure Cycle,779465,CDP,74215,Misiones,States & Regions,Latin America,Argentina,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,5,Row 5,Monitoring systems to inform management of deforestation and/or forest degradation,https://ecologia.misiones.gob.ar/observatorio-ambiental/,"El Observatorio de Datos Ambientales de Misiones, dependiente de la Subsecretaría de Ordenamiento Territorial, es una herramienta estratégica clave para fortalecer las políticas públicas ambientales de la provincia. Su objetivo principal es transformar datos en decisiones concretas, promoviendo una gestión ambiental basada en evidencia.\n\nFunciona registrando y gestionando información precisa y actualizada sobre el estado del ambiente y los recursos naturales, proveniente de diversas fuentes (monitoreos, informes científicos, sociedad civil y un observatorio satelital). Esto permite alinear las acciones provinciales con compromisos nacionales e internacionales, como el Acuerdo de París y la estrategia REDD+.\n\nAdemás, opera como un sistema de alerta temprana para prevenir y detectar problemáticas como el desmonte, delitos ambientales, atropellamiento de fauna e incendios forestales, mejorando la capacidad de respuesta.\n\nEl Observatorio ya ha generado herramientas innovadoras, como el Sistema de Monitoreo de Deforestación Automatizado (que analiza imágenes satelitales) y ha fortalecido la Gestión Preventiva de Incendios."
2025 Disclosure Cycle,779465,CDP,74215,Misiones,States & Regions,Latin America,Argentina,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,6,Row 6,Regional laws on avoided conversion,https://digestomisiones.gob.ar/anexos/1688677364_LEY%20XVI%20-%20N%C2%B0%20103%20(Antes%20Ley%204520).pdf,"La ley principal sobre servicios ambientales en Misiones es la Ley XVI - N° 103 (antes Ley 4520), sancionada en 2009, que establece el marco para los pagos por servicios ambientales generados por bosques nativos y plantaciones forestales. Esta ley fue reglamentada por el Decreto 2179/2024. \nLey XVI - N° 103 (Antes Ley 45"
2025 Disclosure Cycle,779465,CDP,74215,Misiones,States & Regions,Latin America,Argentina,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,7,Row 7,Regional laws on improved forest management,https://agro.misiones.gob.ar/wp-content/uploads/2018/06/Ley-XVI-N%C2%BA-106-Marco-Regulatorio-de-los-Recursos-Dendroenergeticos-Renovables.pdf,"La \'ley de dendroenergía\' en Misiones se refiere a la Ley XVI - N° 106, que establece un marco regulatorio para el manejo y aprovechamiento de los bosques cultivados energéticos, promoviendo el uso de leña de fuentes sostenibles en lugar de la de monte nativo. El Plan Leña Renovable es la política pública que la implementa, enfocada en capacitar a los productores para que desarrollen su actividad de manera segura y sostenible, fomentando la diversificación en las chacras y protegiendo los recursos forestales de la provincia. "
2025 Disclosure Cycle,779465,CDP,74745,Nyandarua County,States & Regions,UKWW,Kenya,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,National laws on improved forest management,Web link is not available. We are not the owners of the document,there is a continous coordination between the national and regional governments
2025 Disclosure Cycle,779465,CDP,74745,Nyandarua County,States & Regions,UKWW,Kenya,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Regional laws on improved forest management,The document is in draft form.,Working to finalize on the draft documents
2025 Disclosure Cycle,779465,CDP,74745,Nyandarua County,States & Regions,UKWW,Kenya,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,3,Row 3,Jurisdictional approaches or initiatives,Plans available in the County budget,Striving to enhance budget uptake and implementation
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Regional laws on avoided conversion,http://geoseuc.ima.sc.gov.br/#/,"A lei estadual nº 14.675, de 13 de abril de 2009 que institui o Código Ambiental coloca que uma das competências do Instituto do Meio Ambiente do Estado de Santa Catarina (IMA) é implantar o Sistema Estadual de Unidades de Conservação da Natureza - SEUC. Este sistema pode ser acessado em http://geoseuc.ima.sc.gov.br/#/\n"
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Monitoring systems to inform management of deforestation and/or forest degradation,https://www.ima.sc.gov.br/index.php/noticias/1638-ima-lanca-sistema-para-monitorar-desmatamento-ilegal-em-santa-catarina,"O Sistema Integrado de Monitoramento e Alertas de Desmatamento (Simad), é uma nova ferramenta de SC que detecta, registra e gera alertas precisos de desmatamento após cruzamento de diversos bancos de dados, tais como:\n- licenciamentos e autos de infração do banco de dados do IMA (Instituto de Meio Ambiente de SC);\n- Cadastro Ambiental Rural (CAR);\n- espaços territoriais especialmente protegidos (APP, Reserva Legal, unidades de conservação).\nAs informações geradas são mais exatas utilizando-se de um filtro aprimorado de dados atualizados de programas do IMA, com melhor escala de mapeamento. O SIMAD utiliza imagens de satélite para comparar locais em diferentes períodos, mostrando o histórico da vegetação. Se há supressão de mata, o próprio sistema verifica se foi legal com Autorização de Corte ou se é clandestina.\nÉ considerado atualmente o sistema com a capacidade de atualização mais rápida do Brasil: semanal para as regiões do estado, ou a cada 16 dias para um ponto específico de interesse no acompanhamento."
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,3,Row 3,Management of Protected Areas,https://www.ima.sc.gov.br/index.php/biodiversidade/unidades-de-conservacao,"O Instituto do Meio Ambiente de Santa Catarina (IMA), um dos órgãos executores do Sistema Estadual do Meio Ambiente, realiza a gestão das Unidades de Conservação Estaduais. "
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,4,Row 4,Jurisdictional approaches or initiatives,"https://www.parana.pr.gov.br/aen/Noticia/Conferencia-da-Mata-Atlantica-debatera-enfrentamento-mudancas-climaticas#:~:text=Em%202023%2C%20o%20Cosud%20formalizou,harm%C3%B4nico%20e%20o%20alcance%20de","Tratado da Mata Atlântica: Protocolo de intenções entre os Estados da Região Sul e Sudeste através do COSUD (Consórcio de Integração Sul e Sudeste). Em 2023, o COSUD formalizou um protocolo de intenções chamado de “Tratado da Mata Atlântica”, visando a união de esforços para a preservação, conservação e a utilização racional dos recursos naturais do bioma, mediante a adoção de ações conjuntas e coordenadas para promover o desenvolvimento harmônico e o alcance de resultados mutuamente proveitosos. Entre os objetivos do protocolo estão o planejamento integrado de corredores ecológicos regionais, com foco na gestão territorial, por meio do compartilhamento de experiências entre os estados e da adoção integrada de instrumentos e estratégias de monitoramento, de fomento à restauração e conservação de ecossistemas e paisagens e da bioeconomia.\n"
2025 Disclosure Cycle,779465,CDP,30989,State of Colorado,States & Regions,North America,United States of America,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,National laws on improved forest management,BIL IRA IIJA,Funding resources for forest management and improvement
2025 Disclosure Cycle,779465,CDP,30989,State of Colorado,States & Regions,North America,United States of America,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Regional laws on improved forest management,CSFS Best Management Practices,Best Management Practices Forest Stewardship Guidelines for Water Quality Protection
2025 Disclosure Cycle,779465,CDP,30989,State of Colorado,States & Regions,North America,United States of America,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,3,Row 3,Management of Protected Areas,Roadless rule,Keep areas free from vehicles
