disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Health area affected by climate change,col2_Identify the climate hazard(s) that most significantly impact the selected health area,col3_Identify the health issues driven by the selected climate hazard(s),col4_Timeframe of impact,col5_Identify which vulnerable populations are affected by the selected health issue(s),col6_What factors affect your jurisdiction's ability to address the selected health issues,col7_Comment
2025 Disclosure Cycle,779465,CDP,841965,"City of Lansing, MI",City,North America,United States of America,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Do not know,,,,,,
2025 Disclosure Cycle,779465,CDP,841970,"City of West Lafayette, IN",City,North America,United States of America,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health outcomes,River flooding|Heat stress|Extreme cold|Extreme heat|Storm|Increased water demand|Extreme wind|Fire weather (risk of wildfires),"Disruption to water, sanitation, and wastewater service provision and service accessibility|Direct physical injuries and deaths due to extreme weather events|Cold-related illnesses|Heat-related illnesses|Mental health impacts",,,,"As of 9/4/2025, 3 new healthcare providing offices such as hospitals, emergency rooms, etc. have announced plans to construct new offices in West Lafayette to hopefully address many of these gaps. "
2025 Disclosure Cycle,779465,CDP,841976,Dhulikhel Municipality,City,India,Nepal,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,"The jurisdiction is not yet able to measure climate change related health impacts, please explain",Extreme heat|Infectious disease,Mental health impacts|Heat-related illnesses|Vector-borne infections and illnesses|Water-borne infections and illnesses,,,,"Health areas affected by climate change include:\nVector-borne diseases - e.g., dengue, malaria .\nWater-borne diseases - e.g., diarrhea, cholera \nHeat-related illnesses - e.g., heat stroke, dehydration.\nRespiratory illnesses - e.g., asthma, infections.\nMental health stress - e.g., anxiety, trauma."
2025 Disclosure Cycle,779465,CDP,842012,"City of Burlington, ON",City,North America,Canada,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health systems,Infectious disease|Extreme wind|Biodiversity loss|Extreme heat|Heavy precipitation|Snow and ice|Heat stress|River flooding|Urban flooding,Exacerbation of non-communicable disease symptoms - cardiovascular disease|Heat-related illnesses|Direct physical injuries and deaths due to extreme weather events|Exacerbation of non-communicable disease symptoms - respiratory disease|Vector-borne infections and illnesses|Mental health impacts|Disruption to health service provision and service accessibility,Long-term (after 2050),Elderly|Outdoor workers|Children and youth|Low-income households|Vulnerable health groups|Frontline workers,"Other: Health protection services is the responsibility of Halton Region, an upper tiered municipality. Health services including hospitals are a provincial jurisdiction","Although Halton Region is the lead on public health services, the City recognizes that there are actions which can support vulnerable populations to manage and survive the impacts of the changing climate, where we have forecasted warmer, wetter and wilder weather in the future. Cooling centres are provided in the summer along with extended outdoor pool hours during heat events, and emergency warming and relief centres for other extreme events like flooding and ice storms. \n\nThe City provided a $1000 grant to Burlington residents impacted by an extreme flood event in July 2024 to help cover temporary expenses and also waved the building permit fee for basement renovations post flood. Also, in 2024, Community Development Halton was retained by the City to map where vulnerable City of Burlington residents reside, which of these residents have access to cooling centres, and where others do not. This information along with future work on an urban heat island map will help inform future decisions on cooling centre locations, tree planting, and other infrastructure needs related to extreme heat."
2025 Disclosure Cycle,779465,CDP,842044,"Ville de Longueuil, QC",City,North America,Canada,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health outcomes,Snow and ice|Extreme heat|Drought,"Direct physical injuries and deaths due to extreme weather events|Exacerbation of non-communicable disease symptoms - cardiovascular disease|Disruption to water, sanitation, and wastewater service provision and service accessibility|Water-borne infections and illnesses|Heat-related illnesses|Disruption of health-related services|Damage/destruction to health infrastructure and technology, including access modes|Exacerbation of non-communicable disease symptoms - respiratory disease",,,,
2025 Disclosure Cycle,779465,CDP,842167,Sakarya,City,UKWW,Türkiye,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health outcomes,Fire weather (risk of wildfires)|Extreme heat,Exacerbation of non-communicable disease symptoms - cardiovascular disease|Heat-related illnesses|Vector-borne infections and illnesses|Exacerbation of non-communicable disease symptoms - respiratory disease,Short-term (by 2025),Children and youth|Vulnerable health groups|Low-income households|Elderly,Lack of financial capacity and expertise/technical capacity,
2025 Disclosure Cycle,779465,CDP,843537,Shropshire Council,City,UKWW,United Kingdom,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health outcomes,Heat stress|Water stress|Loss of green space/green cover|Drought|Storm|Urban flooding,"Overwhelming of health service provision due to increased demand|Disruption of health-related services|Heat-related illnesses|Disruption to health service provision and service accessibility|Disruption to water, sanitation, and wastewater service provision and service accessibility|Food & nutrition security|Mental health impacts|Direct physical injuries and deaths due to extreme weather events|Vector-borne infections and illnesses|Water-borne infections and illnesses",Medium-term (2026-2050),Children and youth|Low-income households|Elderly|Vulnerable health groups|Outdoor workers|Women and girls,Lack of financial capacity and expertise/technical capacity,
2025 Disclosure Cycle,779465,CDP,843537,Shropshire Council,City,UKWW,United Kingdom,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health systems,River flooding|Biodiversity loss|Urban flooding,"Damage/destruction to health infrastructure and technology, including access modes",Medium-term (2026-2050),Frontline workers|Outdoor workers,Lack of financial capacity and expertise/technical capacity,
2025 Disclosure Cycle,779465,CDP,843537,Shropshire Council,City,UKWW,United Kingdom,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,3,Row 3,"The jurisdiction is not yet able to measure climate change related health impacts, please explain",,,,,,
2025 Disclosure Cycle,779465,CDP,847922,Junta Municipal de Medio Ambiente Lagunas (JIMAL),City,Latin America,Mexico,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,"The jurisdiction is not yet able to measure climate change related health impacts, please explain",Increased water demand|Biodiversity loss|Water stress|Heat stress|Fire weather (risk of wildfires)|Extreme heat|Soil degradation/erosion|Urban flooding|River flooding|Drought,"Disruption to water, sanitation, and wastewater service provision and service accessibility|Exacerbation of non-communicable disease symptoms - respiratory disease",,,,"Se tiene el conocimiento de los peligros identificados por observaciones cualitativas de los fenómenos relacionados al cambio climático, sin embargo hasta ahora no ha sido posible medir el impacto en la salud."
2025 Disclosure Cycle,779465,CDP,848122,Alajuela,City,Latin America,Costa Rica,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health systems,Infectious disease|Mass movement|Increased water demand|Drought,"Disruption of health-related services|Overwhelming of health service provision due to increased demand|Exacerbation of non-communicable disease symptoms - respiratory disease|Disruption to water, sanitation, and wastewater service provision and service accessibility|Vector-borne infections and illnesses|Water-borne infections and illnesses",,,,"Todos los factores seleccionados se ven afectados por eventos naturales significativos, , en nuestro caso principalmente por Inundaciones, Deslizamientos y Sismos, y caída de árboles por fuertes vientos. \n\nAsi como el faltante de agua"
2025 Disclosure Cycle,779465,CDP,848125,Oreamuno,City,Latin America,Costa Rica,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health systems,Urban flooding|Extreme heat|Heavy precipitation|Water stress|Extreme wind|Drought|Heat stress|Extreme cold,Heat-related illnesses|Cold-related illnesses|Vector-borne infections and illnesses|Food-borne infections and illnesses|Water-borne infections and illnesses,,,,Información suministrada por el departamento de higiene y ornato ambiental.
2025 Disclosure Cycle,779465,CDP,848126,La Democracia,City,Latin America,Guatemala,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,"The jurisdiction is not yet able to measure climate change related health impacts, please explain",Fire weather (risk of wildfires)|Drought|River flooding|Storm|Water stress|Extreme wind|Urban flooding|Soil degradation/erosion|Extreme heat|Heat stress|Heavy precipitation|Biodiversity loss|Loss of green space/green cover|Infectious disease|Increased water demand,"Vector-borne infections and illnesses|Damage/destruction to health infrastructure and technology, including access modes|Food & nutrition security|Heat-related illnesses|Disruption of health-related services|Food-borne infections and illnesses|Exacerbation of non-communicable disease symptoms - respiratory disease|Water-borne infections and illnesses",,,,"Toda Guatemala sufre los embates de alguna manera por efectos del cambio climático, pues se nota el aumento de temperatura y las variabilidad en la época de lluvia"
2025 Disclosure Cycle,779465,CDP,848135,San Pedro de la Paz,City,Latin America,Chile,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,"The jurisdiction is not yet able to measure climate change related health impacts, please explain",Other forms of climate-induced landscape shift/degradation|Coastal flooding (incl. sea level rise)|Loss of green space/green cover|Biodiversity loss|Other coastal events|Mass movement|Extreme cold|Extreme heat|Heavy precipitation|Water stress|Infectious disease|Urban flooding|Heat stress|Fire weather (risk of wildfires),,,,,No se ha realizado esta acción concreta de analisis
2025 Disclosure Cycle,779465,CDP,848476,Municipalidad de Cañas,City,Latin America,Costa Rica,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health outcomes,Infectious disease|Urban flooding|Drought|Water stress|Heavy precipitation|Heat stress|Fire weather (risk of wildfires),"Food & nutrition security|Overwhelming of health service provision due to increased demand|Heat-related illnesses|Disruption of health-related services|Mental health impacts|Disruption to water, sanitation, and wastewater service provision and service accessibility|Vector-borne infections and illnesses",,,,"Los peligros indicados generan un impacto directo no solo en la salud de las personas, sino en las consecuencias que genere y el impacto en el acceso a los servicios de salud. Las enfermedades que se originan a partir de la escasez de agua generan una carga a los servicios de salud ya que muchas de las personas que padecen Enfermedad Renal Crónica quedan imposibilitadas para trabajar y pasan al régimen de pensión por invalidez.Asimismo, las personas que sufren afectación en sus viviendas y comercios, deben restablecer sus vidas a veces desde cero, ya que las inundaciones provocan afectaciones en la infraestructura y los productos. Muchos de los productos que se cultivan en Cañas (arroz, algodón, y caña), también sufren pérdidas importantes, la muerte de animales como ganado también impacta a los productores y con ello disminuye la generación de empleo. Con la disminución de ingresos de los productores, también se reduce el aporte a la seguridad social, a veces se suspende el acceso a los servicios de salud, porque no tienen como pagar el seguro, asimismo eliminan el aseguramiento a sus colaboradores y las personas descuidan el seguimiento de sus enfermedades por la falta de ingresos para accesar a los centros médicos. "
2025 Disclosure Cycle,779465,CDP,848564,City of Zadar,City,Europe,Croatia,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health systems,Coastal flooding (incl. sea level rise)|Extreme wind|Water stress|Drought|Fire weather (risk of wildfires)|Heat stress|Urban flooding|Increased water demand|Extreme heat|Other coastal events,"Direct physical injuries and deaths due to extreme weather events|Disruption of health-related services|Heat-related illnesses|Food & nutrition security|Disruption to water, sanitation, and wastewater service provision and service accessibility|Disruption to health service provision and service accessibility|Damage/destruction to health infrastructure and technology, including access modes|Overwhelming of health service provision due to increased demand|Exacerbation of non-communicable disease symptoms - cardiovascular disease",,,,Data from SECAP.
2025 Disclosure Cycle,779465,CDP,848564,City of Zadar,City,Europe,Croatia,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Areas outside the health sector,Soil degradation/erosion|Urban flooding|Extreme heat|Extreme wind|Coastal flooding (incl. sea level rise)|Storm|Heavy precipitation|Water stress|Increased water demand|Other coastal events|Drought|Biodiversity loss|Loss of green space/green cover|Heat stress|Fire weather (risk of wildfires),"Disruption to health service provision and service accessibility|Disruption to water, sanitation, and wastewater service provision and service accessibility|Heat-related illnesses|Disruption of health-related services|Exacerbation of non-communicable disease symptoms - cardiovascular disease|Damage/destruction to health infrastructure and technology, including access modes|Food & nutrition security|Direct physical injuries and deaths due to extreme weather events|Overwhelming of health service provision due to increased demand",,,,Data from SECAP.
2025 Disclosure Cycle,779465,CDP,848564,City of Zadar,City,Europe,Croatia,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,3,Row 3,Health outcomes,Urban flooding|Heavy precipitation|Coastal flooding (incl. sea level rise)|Fire weather (risk of wildfires)|Loss of green space/green cover|Heat stress|Increased water demand|Storm|Extreme wind|Drought|Other coastal events|Water stress|Soil degradation/erosion|Biodiversity loss|Extreme heat,"Heat-related illnesses|Exacerbation of non-communicable disease symptoms - cardiovascular disease|Disruption to health service provision and service accessibility|Disruption to water, sanitation, and wastewater service provision and service accessibility",,,,Data from SECAP.
2025 Disclosure Cycle,779465,CDP,848568,"Metropolitan Council, Twin Cities",City,North America,United States of America,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health outcomes,Extreme heat|Extreme cold,Cold-related illnesses|Heat-related illnesses|Mental health impacts,Short-term (by 2025),Low-income households|Vulnerable health groups|Elderly|Outdoor workers|Children and youth|Marginalized / minority communities,,"Analysis of health impacts from Minnesota Department of Health's Climate and Health Profile Summary, as well as from the Metropolitan Council's Climate Vulnerability Assessment. Analysis of health impacts from Minnesota Department of Health's Climate and Health Profile Summary, as well as from the Metropolitan Council's Climate Vulnerability Assessment. As part of the Climate Vulnerability Assessment, the Met Council did produce a joint report with the University of Minnesota assessing human vulnerability to climate change hazards of extreme heat and localized flooding using a social determinants of health model. This report needs to be updated, but it has helped inform a lot of the more recent policy work and has informed the Public Health goal within Imagine 2050. "
2025 Disclosure Cycle,779465,CDP,848568,"Metropolitan Council, Twin Cities",City,North America,United States of America,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health outcomes,Fire weather (risk of wildfires),Exacerbation of non-communicable disease symptoms - respiratory disease,Short-term (by 2025),Elderly|Vulnerable health groups|Children and youth|Outdoor workers,,"Analysis of health impacts from Minnesota Department of Health's Climate and Health Profile Summary. The jurisdiction's ability to address the selected health issues is not reported extensively. As part of the Climate Vulnerability Assessment, the Met Council did produce a joint report with the University of Minnesota assessing human vulnerability to climate change hazards of extreme heat and localized flooding using a social determinants of health model. This report needs to be updated, but it has helped inform a lot of the more recent policy work and has informed the Public Health goal within Imagine 2050. "
2025 Disclosure Cycle,779465,CDP,848568,"Metropolitan Council, Twin Cities",City,North America,United States of America,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,3,Row 3,Health outcomes,Infectious disease,Vector-borne infections and illnesses,Medium-term (2026-2050),Vulnerable health groups|Children and youth|Elderly,,"Disruption of ecosystems due to climate change will lead to increased instances of infectious vector-borne diseases, such as West Nile Virus and Lyme disease. Analysis of health impacts from Minnesota Department of Health's Climate and Health Profile Summary. The jurisdiction's ability to address the selected health issues is not reported because health systems are not under the purview of the Metropolitan Council."
2025 Disclosure Cycle,779465,CDP,848568,"Metropolitan Council, Twin Cities",City,North America,United States of America,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,4,Row 4,Areas outside the health sector,Storm|Snow and ice|Heavy precipitation|Urban flooding,"Damage/destruction to health infrastructure and technology, including access modes|Disruption to health service provision and service accessibility|Disruption to water, sanitation, and wastewater service provision and service accessibility",Medium-term (2026-2050),Low-income households,,"Unpredictable weather such as increased storms and erratic snow and ice can disrupt essential services such as sanitation and transportation pathways, preventing people from accessing important health services. The impacts of these disruptions are a heavier burden on low-income households. Analysis of health impacts from Minnesota Department of Health's Climate and Health Profile Summary. Analysis of other sector impacts from the Metropolitan Council's Climate Vulnerability Assessment. As part of the Climate Vulnerability Assessment, the Met Council did produce a joint report with the University of Minnesota assessing human vulnerability to climate change hazards of extreme heat and localized flooding using a social determinants of health model. This report needs to be updated, but it has helped inform a lot of the more recent policy work and has informed the Public Health goal within Imagine 2050. "
2025 Disclosure Cycle,779465,CDP,848950,Ushuaia,City,Latin America,Argentina,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Do not know,Other: NO SE ESTIMA,Other: no se estima,,,,ninguno \n
2025 Disclosure Cycle,779465,CDP,848981,City of Ormoc,City,South East Asia & Oceania,Philippines,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health systems,Urban flooding|Heavy precipitation|River flooding|Infectious disease,Vector-borne infections and illnesses|Water-borne infections and illnesses,,,,Dengue outbreak resulting to increasing 822 dengue cases.
2025 Disclosure Cycle,779465,CDP,848981,City of Ormoc,City,South East Asia & Oceania,Philippines,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health systems,"Extreme wind|Storm|River flooding|Hurricanes, cyclones, and/or typhoons|Heavy precipitation|Coastal flooding (incl. sea level rise)|Urban flooding|Mass movement|Infectious disease","Damage/destruction to health infrastructure and technology, including access modes|Disruption to health service provision and service accessibility|Heat-related illnesses|Food & nutrition security|Disruption to water, sanitation, and wastewater service provision and service accessibility|Water-borne infections and illnesses|Vector-borne infections and illnesses|Disruption of health-related services",,,,"Super Typhoon Yolanda (Haiyan) in 2013 significantly affected the health sector. There were damaged healthcare infrastructures which decreased the number of bed capacity of hospitals and some special services (e.g. surgeries, radiologic services, laboratory services) were suspended due to damaged equipment. Healthcare institutions became understaffed because healthcare workers were not able to report to work. Healthcare institutions and workers became overwhelmed because several patients from severely damaged neighboring hospitals were transferred."
2025 Disclosure Cycle,779465,CDP,848998,Villa de Merlo,City,Latin America,Argentina,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Do not know,Other: no se estima,Other: no se estima,,,,ninguno
2025 Disclosure Cycle,779465,CDP,849039,Ceres (Argentina),City,Latin America,Argentina,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Do not know,Other: no se estima,Other: no se estima,,,,ninguno
2025 Disclosure Cycle,779465,CDP,849051,Udaipur Municipal Corporation,City,India,India,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health outcomes,Extreme heat|Infectious disease|Urban flooding|Heavy precipitation|Heat stress,Heat-related illnesses|Vector-borne infections and illnesses|Water-borne infections and illnesses|Mental health impacts|Exacerbation of non-communicable disease symptoms - cardiovascular disease,,,,vector borne infections has been increased in the city due to climate change 
2025 Disclosure Cycle,779465,CDP,850305,Prefeitura de Joaçaba,City,Latin America,Brazil,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,"The jurisdiction is not yet able to measure climate change related health impacts, please explain",Extreme wind|River flooding|Heavy precipitation|Urban flooding|Heat stress|Extreme cold|Increased water demand|Loss of green space/green cover|Drought|Water stress|Storm|Mass movement|Extreme heat,"Disruption to health service provision and service accessibility|Exacerbation of non-communicable disease symptoms - respiratory disease|Disruption to water, sanitation, and wastewater service provision and service accessibility|Heat-related illnesses|Mental health impacts|Exacerbation of non-communicable disease symptoms - other|Emotional and/or spiritual health impacts|Overwhelming of health service provision due to increased demand|Exacerbation of non-communicable disease symptoms - cardiovascular disease|Direct physical injuries and deaths due to extreme weather events|Damage/destruction to health infrastructure and technology, including access modes|Water-borne infections and illnesses|Cold-related illnesses",,,,
2025 Disclosure Cycle,779465,CDP,850413,Prefeitura de Itá,City,Latin America,Brazil,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Areas outside the health sector,Heat stress,"Heat-related illnesses|Disruption to water, sanitation, and wastewater service provision and service accessibility",,,,
2025 Disclosure Cycle,779465,CDP,850413,Prefeitura de Itá,City,Latin America,Brazil,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health systems,Other: Mudança do regime de estações bem definidas.,Vector-borne infections and illnesses|Cold-related illnesses|Heat-related illnesses,,,,"Doenças como a dengue, cujo vetor não se proliferava nas condições climáticas locais se transformaram em um grande problema no último verão. Invernos rigorosos tem intensificado problemas com doenças respiratórias."
2025 Disclosure Cycle,779465,CDP,850413,Prefeitura de Itá,City,Latin America,Brazil,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,3,Row 3,Areas outside the health sector,Soil degradation/erosion|Heavy precipitation,Emotional and/or spiritual health impacts,,,,
2025 Disclosure Cycle,779465,CDP,850566,Prefeitura de Piraquara,City,Latin America,Brazil,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health systems,Infectious disease,"Water-borne infections and illnesses|Mental health impacts|Damage/destruction to health infrastructure and technology, including access modes|Disruption to water, sanitation, and wastewater service provision and service accessibility|Exacerbation of non-communicable disease symptoms - other|Food-borne infections and illnesses|Exacerbation of non-communicable disease symptoms - cardiovascular disease|Exacerbation of non-communicable disease symptoms - respiratory disease|Disruption of health-related services|Emotional and/or spiritual health impacts|Vector-borne infections and illnesses|Food & nutrition security",,,,"A população do municipio cresceu drasticamente e a quantidade de Unidades de Saúde, UPAs profissionais não acompanhou este crescimento aonde o municipio não possui nenhum hospital público para atender a população e toodos os casos de infecções e doença se agrava cada vez mais."
2025 Disclosure Cycle,779465,CDP,850566,Prefeitura de Piraquara,City,Latin America,Brazil,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health outcomes,Drought|Extreme heat|Infectious disease|Heavy precipitation,Vector-borne infections and illnesses|Water-borne infections and illnesses,,,,"O aumento das médias de temperatura, associadas à crise hídrica - que provocou racionamento de água e levou ao armazenamento da mesma em recipientes não adequados nos anos 2020/2022 - e ao aumento da precipitação em pequenos espaços temporais, tem favorecido a infestação de A. aegypti e A. albopictus no município. Outro fator que amplifica os riscos de infestação por estes mosquitos é um efeito colateral da crise financeira iniciada nos anos 2020/2022: o aumento da atividade de coleta de materiais recicláveis como fonte principal de renda, visto que seu armazenamento em residências propicia o acúmulo de água, tornando-se pontos potenciais de criadouros destes vetores. Até o presente momento, ainda não existem registros de casos autóctones, mas a presença do vetor é um indicativo de que é apenas questão de tempo para o aparecimento de surtos de arboviroses no município, em especial nas áreas mais carentes. Da mesma forma, o acondicionamento inadequado da água para consumo humano, tendo em vista que grande parte das residências não possui caixa d'água, pode levar ao surgimento de surtos de doenças transmitidas por meio hídrico ou alimentar."
2025 Disclosure Cycle,779465,CDP,850585,Municipality of Ambato,City,Latin America,Ecuador,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health outcomes,Heat stress,Heat-related illnesses,,,,Es uno de los riesgos analizados en el análisis de riesgo que posee el GAD Municipalidad de Ambato. Al respecto actualmente el municipio cuenta con una red automática de calidad de aire y una red pasiva de calidad de aire a fin de monitorear constantemente e aire del cantón y a futuro poder crear políticas publicas para minimizar este problema.
2025 Disclosure Cycle,779465,CDP,850585,Municipality of Ambato,City,Latin America,Ecuador,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health outcomes,Drought,Food & nutrition security,,,,"Los principales peligros relacionados con el clima que afectan la salud en la jurisdicción incluyen el aumento de temperaturas, que favorece la proliferación de vectores de enfermedades como mosquitos; las lluvias intensas y cambios en los patrones pluviométricos, que generan inundaciones y contaminan fuentes de agua; y eventos extremos como deslizamientos, que ponen en riesgo la integridad física y aumentan la vulnerabilidad sanitaria de la población. Estos fenómenos climáticos incrementan la incidencia de enfermedades infecciosas, problemas respiratorios y enfermedades relacionadas con la calidad del agua, afectando directamente la capacidad de respuesta de los servicios de salud locale"
2025 Disclosure Cycle,779465,CDP,852443,"Ferndale, MI",City,North America,United States of America,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,"The jurisdiction is not yet able to measure climate change related health impacts, please explain",Heavy precipitation|Storm|Extreme heat|Other: Particulate Matter/Air Quality|Heat stress|Urban flooding|Snow and ice|Extreme cold,"Heat-related illnesses|Disruption to water, sanitation, and wastewater service provision and service accessibility|Direct physical injuries and deaths due to extreme weather events|Cold-related illnesses|Mental health impacts",Not known (not possible to define),Vulnerable health groups|Marginalized / minority communities|Low-income households|Children and youth|Frontline workers|Outdoor workers|Elderly,Lack of financial capacity and expertise/technical capacity|Lack of expertise/technical capacity|Lack of financial capacity|Lack of political priority,
2025 Disclosure Cycle,779465,CDP,852445,"Gainesville, FL",City,North America,United States of America,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health outcomes,Water stress|Other forms of climate-induced landscape shift/degradation|Infectious disease|Mass movement,"Food-borne infections and illnesses|Disruption of health-related services|Disruption to health service provision and service accessibility|Water-borne infections and illnesses|Exacerbation of non-communicable disease symptoms - respiratory disease|Emotional and/or spiritual health impacts|Damage/destruction to health infrastructure and technology, including access modes|Disruption to water, sanitation, and wastewater service provision and service accessibility|Heat-related illnesses|Mental health impacts|Vector-borne infections and illnesses|Overwhelming of health service provision due to increased demand",Medium-term (2026-2050),Low-income households|Outdoor workers|Women and girls|Frontline workers|Indigenous peoples|Marginalized / minority communities|Children and youth|Vulnerable health groups|Elderly,Lack of financial capacity,"As temperatures rise, the city will likely experience an increase in heat-related illnesses such as heat exhaustion and heatstroke, particularly among vulnerable populations like the elderly, young children, and those with pre-existing health conditions. In addition to heat, poor air quality may worsen due to higher concentrations of ground-level ozone, exacerbating respiratory conditions like asthma and chronic obstructive pulmonary disease (COPD). Longer pollen seasons could also lead to an increase in allergies and asthma attacks. Furthermore, warmer temperatures and changing precipitation patterns could extend the breeding seasons for mosquitoes and other vectors, heightening the risk of vector-borne diseases such as West Nile virus, Zika, and dengue fever. Gainesville's subtropical climate makes it particularly susceptible to these changes. The city is also at risk of increased flooding and water contamination due to more frequent and severe storms, which could lead to a rise in waterborne diseases and contamination of drinking water. These environmental changes, along with the disruptions caused by extreme weather events like hurricanes, can have significant mental health impacts, contributing to stress, anxiety, depression, and post-traumatic stress disorder (PTSD). Environmental change may also disrupt local agriculture, affecting food security and nutrition, particularly for low-income populations. The combination of increased demand for healthcare services due to these issues can strain Gainesville's healthcare system, potentially leading to longer wait times and reduced access to care. Additionally, as certain areas become less habitable, Gainesville could see an influx of refugees, further straining local resources, including healthcare, housing, and social services. To mitigate these impacts, Gainesville will need to implement adaptation strategies such as enhancing public health surveillance, improving infrastructure, promoting green spaces, and educating the public about the associated health risks. By taking proactive steps, the city can better protect its residents from the health risks posed by a changing world."
