disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Air pollution metric,col2_Value,col3_Number of air quality monitoring stations measuring this pollutant in your jurisdiction,col4_Year data was collected,col5_Weblink to air pollution data from monitoring site(s),col6_Comment
2025 Disclosure Cycle,779465,CDP,56276,New Taipei City Government,City,China,East Asia,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),11.66,8,2024,https://statis.moenv.gov.tw/epanet/,Manual monitoring station data for 2024\n\nData source: EPA Air Quality Monitoring Information Integration Platform
2025 Disclosure Cycle,779465,CDP,56276,New Taipei City Government,City,China,East Asia,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Other air pollution metric: Number of 'stations-daily' exceeding the PM2.5 standard concentration (35µg/m3) per year.,32,8,2024,https://data.moenv.gov.tw/dataset/detail/AQX_P_434,The number of station-days in 2024 with a daily average PM2.5 concentration exceeding the air quality standard of 35 µg/m³.\n\nData source: EPA Air Quality Monitoring Information Integration Platform
2025 Disclosure Cycle,779465,CDP,57347,Pingtung County Government,City,China,East Asia,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),4.3,5,2025, Data source: https://airtw.moenv.gov.tw/CHT/EnvMonitoring/Central/CentralMonitoring.aspx,We only have data which will be updated every hour.
2025 Disclosure Cycle,779465,CDP,58513,"City of Medford, MA",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,No air pollution data to report,,,,,
2025 Disclosure Cycle,779465,CDP,58616,Vijayawada Municipal Corporation,City,India,India,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),33.1,9,2021,https://aprtpms.ap.gov.in/publicview.html,"Average annual concentration of primary pollutants (PM2.5, SOx, and NOx) between the years 2016 and 2021 was found to be within the permissible limits as per India 's National Ambient Air Quality Standards."
2025 Disclosure Cycle,779465,CDP,58616,Vijayawada Municipal Corporation,City,India,India,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),16.7,9,2021,https://aprtpms.ap.gov.in/publicview.html,"Average annual concentration of primary pollutants (PM2.5, SOx, and NOx) between the years 2016 and 2021 was found to be within the permissible limits as per India 's National Ambient Air Quality Standards."
2025 Disclosure Cycle,779465,CDP,58616,Vijayawada Municipal Corporation,City,India,India,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Other air pollution metric: PM10,67,9,2021,https://aprtpms.ap.gov.in/publicview.html,"The average annual concentration of PM10 in Vijayawada was ~67 µg/m3 in 2021-22, which is higher than the 56 µg/m3 in 2020 and exceeds the National Ambient Air Quality Standards (NAAQS). Vijayawada city is implementing various initiatives under the National Clean Air Program (NCAP) to reduce the PM10 levels.\n."
2025 Disclosure Cycle,779465,CDP,58671,Helsingør Municipality,City,Europe,Denmark,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),10,,2019,https://lpdv.spatialsuite.dk/spatialmap ,Air pollution in municipalities is monitored by a detailed national model
2025 Disclosure Cycle,779465,CDP,58671,Helsingør Municipality,City,Europe,Denmark,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),10,,2019,https://lpdv.spatialsuite.dk/spatialmap,Air pollution in municipalities is monitored by a detailed national model
2025 Disclosure Cycle,779465,CDP,58871,"City of Salem, MA",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,No air pollution data to report,,,,,No data to report
2025 Disclosure Cycle,779465,CDP,59538,"City of Mississauga, ON",City,North America,Canada,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,No air pollution data to report,,,,,There is no major air quality related hazards have been reported.
2025 Disclosure Cycle,779465,CDP,59538,"City of Mississauga, ON",City,North America,Canada,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Other air pollution metric: Peel Special Air Quality Statements,1,1,2017,https://www.airqualityontario.com/aqhi/today.php?stationid=46108&start_day=21&start_month=6&start_year=2023&showType=chart&station_id=46108&submitter=Refresh+Page,Air quality is the responsibility of the Region of Peel and the Ontario Government. The City does not have jurisdiction. 
2025 Disclosure Cycle,779465,CDP,59678,"City of Evanston, IL",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,No air pollution data to report,,,,,"Air pollution data is unverifiable and does not create a PM2.5 report for historic data. Evanston had approximately 3 days exceeding air quality standards in 2024, but this is not verified. \n"
2025 Disclosure Cycle,779465,CDP,59708,"City of Bethlehem, PA",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),8.9,,2025,https://www.dep.state.pa.us/dep/deputate/airwaste/aq/aqm/psiabe.htm\n,
2025 Disclosure Cycle,779465,CDP,60003,Baguio City,City,South East Asia & Oceania,Philippines,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),16,15,2019,https://car.emb.gov.ph/ (EMB-CAR),"Multiple monitoring stations: Plaza Garden CBD (53 μg/m³ avg), Burnham Park CAAMS (16 μg/m³ avg)"
2025 Disclosure Cycle,779465,CDP,60003,Baguio City,City,South East Asia & Oceania,Philippines,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Other air pollution metric: PM10,15,15,2019,https://car.emb.gov.ph/ (EMB-CAR),"Plaza Garden CBD (63 μg/m³ avg), PEZA Forestry Compound (15 μg/m³ avg)"
2025 Disclosure Cycle,779465,CDP,60003,Baguio City,City,South East Asia & Oceania,Philippines,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Other air pollution metric: CO,,15,2019,https://car.emb.gov.ph/ (EMB-CAR),Measured by Baguio MITD (Smart City Command Center) and City environment and Parks Management air monitoring systems
2025 Disclosure Cycle,779465,CDP,60003,Baguio City,City,South East Asia & Oceania,Philippines,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,NO2 concentration (annual average) level (ug/m3),,15,2019,https://car.emb.gov.ph/ (EMB-CAR),Measured by Baguio MITD (Smart City Command Center) and City environment and Parks Management air monitoring systems
2025 Disclosure Cycle,779465,CDP,60003,Baguio City,City,South East Asia & Oceania,Philippines,Public,Q4.9,Report the following air pollution data for the jurisdiction.,5,Row 5,Other air pollution metric: SO2,,15,2019,https://car.emb.gov.ph/ (EMB-CAR),Measured by Baguio MITD (Smart City Command Center) and City environment and Parks Management air monitoring systems
2025 Disclosure Cycle,779465,CDP,60003,Baguio City,City,South East Asia & Oceania,Philippines,Public,Q4.9,Report the following air pollution data for the jurisdiction.,6,Row 6,Other air pollution metric: O3,,15,2019,https://car.emb.gov.ph/ (EMB-CAR),Measured by Baguio MITD (Smart City Command Center) and City environment and Parks Management air monitoring systems
2025 Disclosure Cycle,779465,CDP,60051,Kakinada Municipal Corporation,City,India,India,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),24,4,2021,https://pcb.ap.gov.in/PCBLive/PCB/QualityMonitoring,Under the National Ambient Air Quality Standard
2025 Disclosure Cycle,779465,CDP,60051,Kakinada Municipal Corporation,City,India,India,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Other air pollution metric: PM10,62,4,2021,https://pcb.ap.gov.in/PCBLive/PCB/QualityMonitoring,"The average annual concentration of PM10 in Kakinada was ~62 µg/m3 in 2021, which exceeds the National Ambient Air Quality Standards (NAAQS). Kakinada city is implementing various initiatives under the National Clean Air Program (NCAP) to reduce the PM10 levels.."
2025 Disclosure Cycle,779465,CDP,60051,Kakinada Municipal Corporation,City,India,India,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,NO2 concentration (annual average) level (ug/m3),13.5,4,2021,https://pcb.ap.gov.in/PCBLive/PCB/QualityMonitoring,Under the National Ambient Air Quality Standard
2025 Disclosure Cycle,779465,CDP,60051,Kakinada Municipal Corporation,City,India,India,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Other air pollution metric: NH3,24,4,2021,https://pcb.ap.gov.in/PCBLive/PCB/QualityMonitoring,Under the National Ambient Air Quality Standard
2025 Disclosure Cycle,779465,CDP,60051,Kakinada Municipal Corporation,City,India,India,Public,Q4.9,Report the following air pollution data for the jurisdiction.,5,Row 5,Other air pollution metric: SO2,7.6,4,2021,https://pcb.ap.gov.in/PCBLive/PCB/QualityMonitoring,Under the National Ambient Air Quality Standard
2025 Disclosure Cycle,779465,CDP,60078,City of Lappeenranta,City,Europe,Finland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,"Other air pollution metric: PM10, yearly average.",9.96,5,2022,https://ekilmanlaatu.net/,
2025 Disclosure Cycle,779465,CDP,60078,City of Lappeenranta,City,Europe,Finland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),7.2,1,2023,https://ekilmanlaatu.net/,City center
2025 Disclosure Cycle,779465,CDP,60078,City of Lappeenranta,City,Europe,Finland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),23.6,3,2023,https://ekilmanlaatu.net/,
2025 Disclosure Cycle,779465,CDP,60097,City of Sarajevo,City,Europe,Bosnia and Herzegovina,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,No air pollution data to report,,,,,No comment
2025 Disclosure Cycle,779465,CDP,60126,City of Tartu,City,Europe,Estonia,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,No air pollution data to report,,,,,
2025 Disclosure Cycle,779465,CDP,60127,Municipality of Thessaloniki,City,Europe,Greece,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),17,6,2024,https://envdimosthes.gr/,The City maintains six air quality and\nmeteorological stations within the City's limits. These have been measuring air pollution and collecting meteorological data since 1989.
2025 Disclosure Cycle,779465,CDP,60127,Municipality of Thessaloniki,City,Europe,Greece,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),45,6,2024,https://envdimosthes.gr/,The City maintains six air quality and\nmeteorological stations within the City's limits. These have been measuring air pollution and collecting meteorological data since 1989.
2025 Disclosure Cycle,779465,CDP,60127,Municipality of Thessaloniki,City,Europe,Greece,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Other air pollution metric: O3 concentration (annual average) level (ug/m3),36,6,2024,https://envdimosthes.gr/,The City maintains six air quality and\nmeteorological stations within the City's limits. These have been measuring air pollution and collecting meteorological data since 1989.
2025 Disclosure Cycle,779465,CDP,60127,Municipality of Thessaloniki,City,Europe,Greece,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Other air pollution metric: CO concentration (annual average) level (ug/m3),1.5,6,2024,https://envdimosthes.gr/,The City maintains six air quality and\nmeteorological stations within the City's limits. These have been measuring air pollution and collecting meteorological data since 1989.
2025 Disclosure Cycle,779465,CDP,60127,Municipality of Thessaloniki,City,Europe,Greece,Public,Q4.9,Report the following air pollution data for the jurisdiction.,5,Row 5,Other air pollution metric: PM10 concentration (annual average) level (ug/m3),36,6,2024,https://envdimosthes.gr/,The City maintains six air quality and\nmeteorological stations within the City's limits. These have been measuring air pollution and collecting meteorological data since 1989.
2025 Disclosure Cycle,779465,CDP,60183,City of Rzeszów,City,Europe,Poland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Other air pollution metric: NO,,14,,https://mzd.erzeszow.pl/traffic/ \n\n,Data current at the time of checking
2025 Disclosure Cycle,779465,CDP,60183,City of Rzeszów,City,Europe,Poland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Other air pollution metric: O3,,1,,https://powietrze.gios.gov.pl/pjp/current \n\n,Data current at the time of checking.
2025 Disclosure Cycle,779465,CDP,60183,City of Rzeszów,City,Europe,Poland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Other air pollution metric: CO,,15,,https://powietrze.gios.gov.pl/pjp/current\nhttps://mzd.erzeszow.pl/traffic/ \n,Data current at the time of checking.
2025 Disclosure Cycle,779465,CDP,60183,City of Rzeszów,City,Europe,Poland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Other air pollution metric: PM10,,76,,"https://mzd.erzeszow.pl/traffic/, https://ekoslupek.pl/mapa/, https://powietrze.gios.gov.pl/pjp/current, https://greencity.pl/paczkomat , https://esa.nask.pl/ ",Data current at the time of checking.
2025 Disclosure Cycle,779465,CDP,60183,City of Rzeszów,City,Europe,Poland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,5,Row 5,Other air pollution metric: PM2.5,,75,,"https://mzd.erzeszow.pl/traffic/, https://ekoslupek.pl/mapa/ , https://powietrze.gios.gov.pl/pjp/current, https://greencity.pl/paczkomat , https://esa.nask.pl/ ",
2025 Disclosure Cycle,779465,CDP,60183,City of Rzeszów,City,Europe,Poland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,6,Row 6,Other air pollution metric: P.M 1.0,,15,,https://ekoslupek.pl/mapa/ \n\n\n\n,
2025 Disclosure Cycle,779465,CDP,60183,City of Rzeszów,City,Europe,Poland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,7,Row 7,Other air pollution metric: NO2,,16,,"https://mzd.erzeszow.pl/traffic/, https://powietrze.gios.gov.pl/pjp/current ",
2025 Disclosure Cycle,779465,CDP,60183,City of Rzeszów,City,Europe,Poland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,8,Row 8,Other air pollution metric: SO2,,1,,https://powietrze.gios.gov.pl/pjp/current \n\n,
2025 Disclosure Cycle,779465,CDP,60183,City of Rzeszów,City,Europe,Poland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,9,Row 9,Other air pollution metric: C20H12 (w PM10),,1,,Measurements of heavy metals and polycyclic aromatic hydrocarbons are not available on websites.,
2025 Disclosure Cycle,779465,CDP,60183,City of Rzeszów,City,Europe,Poland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,10,Row 10,Other air pollution metric: C22H12,,1,,Measurements of heavy metals and polycyclic aromatic hydrocarbons are not available on websites.,
2025 Disclosure Cycle,779465,CDP,60183,City of Rzeszów,City,Europe,Poland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,11,Row 11,Other air pollution metric: C18H12,,1,,,Measurements of heavy metals and polycyclic aromatic hydrocarbons are not available on websites.
2025 Disclosure Cycle,779465,CDP,60183,City of Rzeszów,City,Europe,Poland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,12,Row 12,Other air pollution metric: C6H6,,1,,,*measurements of heavy metals and polycyclic aromatic hydrocarbons are not available on websites.
2025 Disclosure Cycle,779465,CDP,60183,City of Rzeszów,City,Europe,Poland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,13,Row 13,Other air pollution metric: Pb (w PM10),,1,,,Measurements of heavy metals and polycyclic aromatic hydrocarbons are not available on websites.
2025 Disclosure Cycle,779465,CDP,60183,City of Rzeszów,City,Europe,Poland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,14,Row 14,Other air pollution metric: As (w PM10),,1,,,Measurements of heavy metals and polycyclic aromatic hydrocarbons are not available on website
2025 Disclosure Cycle,779465,CDP,60183,City of Rzeszów,City,Europe,Poland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,15,Row 15,Other air pollution metric: Cd (w PM10),,1,,,Measurements of heavy metals and polycyclic aromatic hydrocarbons are not available on website
2025 Disclosure Cycle,779465,CDP,60183,City of Rzeszów,City,Europe,Poland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,16,Row 16,Other air pollution metric: Ni (w PM 10),,1,,,Measurements of heavy metals and polycyclic aromatic hydrocarbons are not available on website
2025 Disclosure Cycle,779465,CDP,60183,City of Rzeszów,City,Europe,Poland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,17,Row 17,Other air pollution metric: CO2,,15,,https://mzd.erzeszow.pl/traffic/ \n\n,
2025 Disclosure Cycle,779465,CDP,60183,City of Rzeszów,City,Europe,Poland,Public,Q4.9,Report the following air pollution data for the jurisdiction.,18,Row 18,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),,,,https://powietrze.gios.gov.pl/pjp/publications/card/69112,"Coroczne raporty dotyczące jakości powietrza w Polsce publikuje Główny Inspektorat Ochrony Środowiska (GIOŚ) na swojej stronie internetowej, Gov.pl. W raportach tych znajduje się ocena jakości powietrza za poprzedni rok kalendarzowy, przeprowadzona dla każdej strefy w Polsce, a ich wyniki są publikowane zarówno w formie raportów wojewódzkich, jak i zbiorczego raportu krajowego. \nWypełniając obowiązek wynikający z art. 89 ustawy z dnia 27 kwietnia 2001 r. - Prawo ochrony środowiska (t.j. Dz. U. 2024 poz. 54 z późn. zm.), Główny Inspektor Ochrony Środowiska wykonał ocenę jakości powietrza za rok 2024 i na jej podstawie dokonał klasyfikacji stref w województwie podkarpackim. Ocenie podlegają zanieczyszczenia, dla których w prawie krajowym i w dyrektywach unijnych określono normatywne stężenia w postaci poziomów dopuszczalnych/docelowych/celu długoterminowego w powietrzu, ze względu na ochronę zdrowia ludzi i ochronę roślin. Wyniki oceny w postaci raportu pt. „Roczna ocena jakości powietrza w województwie podkarpackim. Raport wojewódzki za rok 2024” zostały przekazane Zarządowi Województwa Podkarpackiego."
2025 Disclosure Cycle,779465,CDP,60216,Växjö Municipality,City,Europe,Sweden,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),6.89,3,2024,the data is published on a national webpage for air quality. ,data for measures in urban traffic. National goal is 10
2025 Disclosure Cycle,779465,CDP,60216,Växjö Municipality,City,Europe,Sweden,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),10.06,3,2024,the data is published on a national webpage for air quality. ,data for measures in urban traffic. national goal is 20
2025 Disclosure Cycle,779465,CDP,60216,Växjö Municipality,City,Europe,Sweden,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Other air pollution metric: PM10,10.2,3,2024,the data is published on a national webpage for air quality. ,data for measures in urban traffic. National goal is 15
2025 Disclosure Cycle,779465,CDP,60226,Luleå Municipality,City,Europe,Sweden,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),208,0,2022,https://nationellaemissionsdatabasen.smhi.se/,Average value for the whole geography
2025 Disclosure Cycle,779465,CDP,60226,Luleå Municipality,City,Europe,Sweden,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),1213,0,2022,https://nationellaemissionsdatabasen.smhi.se/,Average value for the whole geography
2025 Disclosure Cycle,779465,CDP,60226,Luleå Municipality,City,Europe,Sweden,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Number of days exceeding air quality guidelines/standards (times/year),25,,2024,https://www.lulealuft.se/partikelhalt-pm10.html,average
2025 Disclosure Cycle,779465,CDP,60226,Luleå Municipality,City,Europe,Sweden,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Other air pollution metric: PM10,25,1,2024,https://www.lulealuft.se/partikelhalt-pm10.html,"average during the last year, data taken from 16 september"
2025 Disclosure Cycle,779465,CDP,60410,Municipalidad de Peñalolén,City,Latin America,Chile,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Number of days exceeding air quality guidelines/standards (times/year),15,,2023,https://airerm.mma.gob.cl/wp-content/uploads/2024/01/INFORME-GEC-2023.pdf,"Asociado a MP 10. Durante la Gestión de Episodios Críticos (GEC) del año 2023 y según sus datos preliminares, se constataron 14 episodios de alerta y 1 episodio de Preemergencia."
2025 Disclosure Cycle,779465,CDP,60410,Municipalidad de Peñalolén,City,Latin America,Chile,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Number of days exceeding air quality guidelines/standards (times/year),17,,2023,https://airerm.mma.gob.cl/wp-content/uploads/2024/01/INFORME-GEC-2023.pdf,"Respecto al MP 2,5. Según el reporte del Ministerio de Medio Ambiente, se registraron para el año 2023, 15 episodios de alerta y 2 de preemergencia."
2025 Disclosure Cycle,779465,CDP,60546,Nanjing Municipal People's Government,City,China,China,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,No air pollution data to report,,,,,
2025 Disclosure Cycle,779465,CDP,62171,Metropolitan Municipality of Rouen,City,Europe,France,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,NO2 concentration (annual average) level (ug/m3),33,5,2023,https://api.atmonormandie.fr/,"33 µg/m3 correspond à la concentration moyenne annuelle la plus élevée sur la station Petit-Quevilly, SUD 3. La concentration la moins élevée en 2023 est de 12 µg/m3."
2025 Disclosure Cycle,779465,CDP,62171,Metropolitan Municipality of Rouen,City,Europe,France,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),22,6,2023,https://api.atmonormandie.fr/,"22 µg/m3 : concentration moyenne annuelle la plus élevée pour les PM2,5.\n13 µg/m3 pour la concentration moyenne annuelle la plus faible."
2025 Disclosure Cycle,779465,CDP,62171,Metropolitan Municipality of Rouen,City,Europe,France,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Number of days exceeding air quality guidelines/standards (times/year),8,,2023,https://api.atmonormandie.fr/,"Nombre de jours de dépassement de la valeur réglementaire pour les PM2,5."
2025 Disclosure Cycle,779465,CDP,63608,City of Melville,City,South East Asia & Oceania,Australia,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),5.5,,2024,https://racairhealthmonitor.ramboll-shair.com/?_gl=1*p0wi7e*_gcl_aw*R0NMLjE3NTgxMDM2OTIuQ2owS0NRand1S25HQmhENUFSSXNBRDE5UnNZVVJJU29fcks3ejR3dDY0R3VCUFlfcXpGU2pHaUJXb2ZBQVpsQ3dPZkxrSFpWSEJZNEdGZ2FBamU1RUFMd193Y0I.*_gcl_dc*R0NMLjE3NTgxMDM2OTIuQ2owS0NRand1S25HQmhENUFSSXNBRDE5UnNZVVJJU29fcks3ejR3dDY0R3VCUFlfcXpGU2pHaUJXb2ZBQVpsQ3dPZkxrSFpWSEJZNEdGZ2FBamU1RUFMd193Y0I.*_gcl_au*MTY5MjMwMzIwMy4xNzU4MTAzNjkx*_ga*NjAxMDM4NDQwLjE3NTgxMDM2OTI.*_ga_RFX6466VWJ*czE3NTgxMDM2OTEkbzEkZzEkdDE3NTgxMDM4MDIkajM3JGwwJGgw&pollutant=no2,Range is 5 - 6 ug/m3 so the average has been used here
2025 Disclosure Cycle,779465,CDP,63608,City of Melville,City,South East Asia & Oceania,Australia,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),24.4,,2024,https://racairhealthmonitor.ramboll-shair.com/?_gl=1*p0wi7e*_gcl_aw*R0NMLjE3NTgxMDM2OTIuQ2owS0NRand1S25HQmhENUFSSXNBRDE5UnNZVVJJU29fcks3ejR3dDY0R3VCUFlfcXpGU2pHaUJXb2ZBQVpsQ3dPZkxrSFpWSEJZNEdGZ2FBamU1RUFMd193Y0I.*_gcl_dc*R0NMLjE3NTgxMDM2OTIuQ2owS0NRand1S25HQmhENUFSSXNBRDE5UnNZVVJJU29fcks3ejR3dDY0R3VCUFlfcXpGU2pHaUJXb2ZBQVpsQ3dPZkxrSFpWSEJZNEdGZ2FBamU1RUFMd193Y0I.*_gcl_au*MTY5MjMwMzIwMy4xNzU4MTAzNjkx*_ga*NjAxMDM4NDQwLjE3NTgxMDM2OTI.*_ga_RFX6466VWJ*czE3NTgxMDM2OTEkbzEkZzEkdDE3NTgxMDM4MDIkajM3JGwwJGgw&pollutant=no2,range is 8 - 18 ppb (15 - 33.8 ug/m3). The average has been used here.
2025 Disclosure Cycle,779465,CDP,63836,Vadodara Municipal Corporation,City,India,India,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),28,5,2023,Vadodara city procures data from Gujarat Pollution Control Board (GPCB). https://gpcb.gujarat.gov.in/Index,"As per the recent data procured from 2 stations namely GPCB and Dandia Bazaar, average value for PM2.5 is 23 µg/m3. (2025)"
2025 Disclosure Cycle,779465,CDP,63941,"Broward County, FL",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,NO2 concentration (annual average) level (ug/m3),19.082,2,2025,https://floridadep.gov/air/air-monitoring/content/broward-county-air-monitoring,"NO2 three-year annual average for 2022 to 2024. NO2 is reported in ppb. Therefore, we multiplied the average of the individual values from each of the two sites NO2 is measured at (5.6 and 14.7)/2= 10.15 by 1.88 to convert to ug/m3 and get 19.082."
2025 Disclosure Cycle,779465,CDP,63941,"Broward County, FL",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Other air pollution metric: Ozone (O3),54.88,4.0,2025,https://floridadep.gov/air/air-monitoring/content/broward-county-air-monitoring,"O3 three-year annual average for 2022 to 2024. O3 is reported in ppb. Therefore, we multiplied the average of the individual values from each of the four sites O3 is measured at (30, 29, 26, 27)/4= 28 by 1.96 to convert to ug/m3 and get 54.88."
2025 Disclosure Cycle,779465,CDP,63941,"Broward County, FL",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),7.02,5.0,2025,https://floridadep.gov/air/air-monitoring/content/broward-county-air-monitoring,"PM 2.5 three-year annual average for 2022 to 2024. Since PM 2.5 is measured at five monitoring sites within the County, the values for each site were averaged together."
